"Category","Group","Database","a","b","c","d","Odds ratio","p-value","q-value","Product"
"clust_0004","group4","ortho_id",1,2014,78,77172,0.491256728686505,0.725712910888542,1,"Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine"
"clust_0004","group2","ortho_id",3,4784,76,74402,0.613894253135583,0.632643383812703,1,"Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine"
"clust_0004","group3","ortho_id",8,15422,71,63764,0.465882988208781,0.03306238307306,0.273462419138589,"Duplicated ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine"
"clust_0005","group4","ortho_id",2,2013,76,77174,1.00889045462102,1,1,"putative dipeptidase"
"clust_0005","group5","ortho_id",35,43215,43,35972,0.677542419408885,0.088862610656631,0.500973441693474,"putative dipeptidase"
"clust_0005","group3","ortho_id",16,15414,62,63773,1.06771165854424,0.775769278463105,1,"putative dipeptidase"
"clust_0005","group6","ortho_id",10,9257,68,69930,1.11089259342894,0.724034895301862,1,"putative dipeptidase"
"clust_0005","group7","ortho_id",2,1436,76,77751,1.4248092275047,0.654333483204237,1,"putative dipeptidase"
"clust_0005","group2","ortho_id",9,4778,69,74409,2.03127227808017,0.0530081440194556,0.36222231746628,"putative dipeptidase"
"clust_0005","group1","ortho_id",4,3074,74,76113,1.33838424925579,0.548223260861235,1,"putative dipeptidase"
"clust_0006","group5","ortho_id",48,43202,29,35986,1.37870225676001,0.207586457386575,0.807887702505059,"Ribokinase (EC 2.7.1.15)"
"clust_0006","group3","ortho_id",16,15414,61,63774,1.08523678968565,0.773354412335982,1,"Ribokinase (EC 2.7.1.15)"
"clust_0006","group6","ortho_id",7,9260,70,69928,0.755164936482788,0.59532213691901,1,"Ribokinase (EC 2.7.1.15)"
"clust_0006","group2","ortho_id",3,4784,74,74404,0.630503688731151,0.630133002153598,1,"Ribokinase (EC 2.7.1.15)"
"clust_0006","group4","ortho_id",2,2013,75,77175,1.02236020415047,0.723441392456928,1,"Ribokinase (EC 2.7.1.15)"
"clust_0006","group7","ortho_id",0,1438,77,77750,0,0.408376448983945,1,"Ribokinase (EC 2.7.1.15)"
"clust_0006","group1","ortho_id",1,3077,76,76111,0.325469379855871,0.374186902410058,1,"Ribokinase (EC 2.7.1.15)"
"clust_0007","group5","ortho_id",58,43192,15,36000,3.22266433051171,1.54041728072426e-05,0.000681044138251499,"Pullulanase (EC 3.2.1.41)"
"clust_0007","group6","ortho_id",0,9267,73,69925,0,0.000177925662188269,0.00494063308549584,"Pullulanase (EC 3.2.1.41)"
"clust_0007","group2","ortho_id",3,4784,70,74408,0.666570029265927,0.803114205127855,1,"Pullulanase (EC 3.2.1.41)"
"clust_0007","group7","ortho_id",2,1436,71,77756,1.52524093897473,0.382869169442594,1,"Pullulanase (EC 3.2.1.41)"
"clust_0007","group1","ortho_id",2,3076,71,76116,0.697045598040226,1,1,"Pullulanase (EC 3.2.1.41)"
"clust_0007","group3","ortho_id",7,15423,66,63769,0.438523059481175,0.0369590733054109,0.293286838102447,"Pullulanase (EC 3.2.1.41)"
"clust_0007","group4","ortho_id",1,2014,72,77178,0.532234751019132,1,1,"Pullulanase (EC 3.2.1.41)"
"clust_0008","group6","ortho_id",9,9258,63,69935,1.0791702059864,0.853657331252002,1,"FIG00671960: hypothetical protein"
"clust_0008","group2","ortho_id",6,4781,66,74412,1.41489713133133,0.450214082287414,1,"FIG00671960: hypothetical protein"
"clust_0008","group7","ortho_id",2,1436,70,77757,1.54705431180079,0.376406915719891,1,"FIG00671960: hypothetical protein"
"clust_0008","group3","ortho_id",14,15416,58,63777,0.998601993006764,1,1,"FIG00671960: hypothetical protein"
"clust_0008","group5","ortho_id",35,43215,37,35978,0.787539456599472,0.344032689391912,1,"FIG00671960: hypothetical protein"
"clust_0008","group4","ortho_id",3,2012,69,77181,1.66781651230065,0.433359466172982,1,"FIG00671960: hypothetical protein"
"clust_0008","group1","ortho_id",3,3075,69,76118,1.07622750326595,0.759014648910938,1,"FIG00671960: hypothetical protein"
"clust_0009","group2","ortho_id",3,4784,66,74412,0.707008224340848,0.799368450291643,1,"Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)"
"clust_0009","group3","ortho_id",16,15414,53,63782,1.24918131080978,0.446488183693882,1,"Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)"
"clust_0009","group4","ortho_id",2,2013,67,77183,1.14454218814997,0.695457924719275,1,"Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)"
"clust_0009","group6","ortho_id",10,9257,59,69939,1.28054643905479,0.452282881898269,1,"Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)"
"clust_0009","group7","ortho_id",1,1437,68,77759,0.79576716229937,1,1,"Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)"
"clust_0009","group1","ortho_id",2,3076,67,76120,0.738699334329437,1,1,"Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)"
"clust_0009","group5","ortho_id",35,43215,34,35981,0.857096133601992,0.546792529843355,1,"Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)"
"clust_0010","group2","ortho_id",3,4784,66,74412,0.707008224340848,0.799368450291643,1,"ABC-type sugar transport system, periplasmic component"
"clust_0010","group7","ortho_id",1,1437,68,77759,0.79576716229937,1,1,"ABC-type sugar transport system, periplasmic component"
"clust_0010","group4","ortho_id",2,2013,67,77183,1.14454218814997,0.695457924719275,1,"ABC-type sugar transport system, periplasmic component"
"clust_0010","group3","ortho_id",16,15414,53,63782,1.24918131080978,0.446488183693882,1,"ABC-type sugar transport system, periplasmic component"
"clust_0010","group6","ortho_id",10,9257,59,69939,1.28054643905479,0.452282881898269,1,"ABC-type sugar transport system, periplasmic component"
"clust_0010","group5","ortho_id",35,43215,34,35981,0.857096133601992,0.546792529843355,1,"ABC-type sugar transport system, periplasmic component"
"clust_0010","group1","ortho_id",2,3076,67,76120,0.738699334329437,1,1,"ABC-type sugar transport system, periplasmic component"
"clust_0011","group4","ortho_id",2,2013,65,77185,1.17978849115999,0.688651324031644,1,"Oligo-1,6-glucosidase (EC 3.2.1.10)"
"clust_0011","group5","ortho_id",35,43215,32,35983,0.910713290468027,0.714311364283935,1,"Oligo-1,6-glucosidase (EC 3.2.1.10)"
"clust_0011","group3","ortho_id",16,15414,51,63784,1.29820855357143,0.35524814976272,1,"Oligo-1,6-glucosidase (EC 3.2.1.10)"
"clust_0011","group6","ortho_id",8,9259,59,69939,1.0242232171369,0.850463989870501,1,"Oligo-1,6-glucosidase (EC 3.2.1.10)"
"clust_0011","group2","ortho_id",3,4784,64,74414,0.729122915920885,0.798515164992656,1,"Oligo-1,6-glucosidase (EC 3.2.1.10)"
"clust_0011","group7","ortho_id",1,1437,66,77761,0.81990219144907,1,1,"Oligo-1,6-glucosidase (EC 3.2.1.10)"
"clust_0011","group1","ortho_id",2,3076,65,76122,0.76144867704766,1,1,"Oligo-1,6-glucosidase (EC 3.2.1.10)"
"clust_0012","group5","ortho_id",43,43207,23,35992,1.55736019415591,0.107207956234669,0.554611776782031,"Multiple sugar ABC transporter, substrate-binding protein"
"clust_0012","group4","ortho_id",1,2014,65,77185,0.589605572061999,1,1,"Multiple sugar ABC transporter, substrate-binding protein"
"clust_0012","group2","ortho_id",4,4783,62,74416,1.00377016545905,1,1,"Multiple sugar ABC transporter, substrate-binding protein"
"clust_0012","group6","ortho_id",5,9262,61,69937,0.618934707326246,0.440353972699069,1,"Multiple sugar ABC transporter, substrate-binding protein"
"clust_0012","group1","ortho_id",2,3076,64,76123,0.773356532645125,1,1,"Multiple sugar ABC transporter, substrate-binding protein"
"clust_0012","group7","ortho_id",1,1437,65,77762,0.832526662017229,1,1,"Multiple sugar ABC transporter, substrate-binding protein"
"clust_0012","group3","ortho_id",10,15420,56,63779,0.738598415731006,0.439105399932904,1,"Multiple sugar ABC transporter, substrate-binding protein"
"clust_0013","group5","ortho_id",45,43205,20,35995,1.87448477483767,0.0178668927652482,0.175163603164983,"Hydroxyethylthiazole kinase (EC 2.7.1.50)"
"clust_0013","group4","ortho_id",1,2014,64,77186,0.598825879671579,1,1,"Hydroxyethylthiazole kinase (EC 2.7.1.50)"
"clust_0013","group7","ortho_id",1,1437,64,77763,0.84554564268546,1,1,"Hydroxyethylthiazole kinase (EC 2.7.1.50)"
"clust_0013","group2","ortho_id",3,4784,62,74416,0.752664383998489,1,1,"Hydroxyethylthiazole kinase (EC 2.7.1.50)"
"clust_0013","group6","ortho_id",5,9262,60,69938,0.629259172921208,0.438059095425189,1,"Hydroxyethylthiazole kinase (EC 2.7.1.50)"
"clust_0013","group1","ortho_id",2,3076,63,76124,0.785642411983289,1,1,"Hydroxyethylthiazole kinase (EC 2.7.1.50)"
"clust_0013","group3","ortho_id",8,15422,57,63778,0.580433579213663,0.160459241001737,0.727811698591235,"Hydroxyethylthiazole kinase (EC 2.7.1.50)"
"clust_0014","group5","ortho_id",35,43215,29,35986,1.00500709848223,1,1,"Glycogen phosphorylase (EC 2.4.1.1)"
"clust_0014","group6","ortho_id",5,9262,59,69939,0.639933617021722,0.436667403378636,1,"Glycogen phosphorylase (EC 2.4.1.1)"
"clust_0014","group7","ortho_id",1,1437,63,77764,0.858977919311027,1,1,"Glycogen phosphorylase (EC 2.4.1.1)"
"clust_0014","group2","ortho_id",3,4784,61,74417,0.765014009856123,1,1,"Glycogen phosphorylase (EC 2.4.1.1)"
"clust_0014","group4","ortho_id",2,2013,62,77188,1.23692182302443,0.678698958096321,1,"Glycogen phosphorylase (EC 2.4.1.1)"
"clust_0014","group1","ortho_id",2,3076,62,76125,0.798324605564562,1,1,"Glycogen phosphorylase (EC 2.4.1.1)"
"clust_0014","group3","ortho_id",16,15414,48,63787,1.37940970651106,0.268854110189029,0.915979372574892,"Glycogen phosphorylase (EC 2.4.1.1)"
"clust_0015","group4","ortho_id",1,2014,63,77187,0.60833889452485,1,1,"Single-stranded DNA-binding protein"
"clust_0015","group1","ortho_id",5,3073,59,76128,2.09931809619658,0.102765385194573,0.537719297716231,"Single-stranded DNA-binding protein"
"clust_0015","group6","ortho_id",6,9261,58,69940,0.781263935383979,0.698569404362933,1,"Single-stranded DNA-binding protein"
"clust_0015","group2","ortho_id",3,4784,61,74417,0.765014009856123,1,1,"Single-stranded DNA-binding protein"
"clust_0015","group3","ortho_id",8,15422,56,63779,0.59080731869106,0.205123377805352,0.807887702505059,"Single-stranded DNA-binding protein"
"clust_0015","group7","ortho_id",1,1437,63,77764,0.858977919311027,1,1,"Single-stranded DNA-binding protein"
"clust_0015","group5","ortho_id",40,43210,24,35991,1.38821222071827,0.211667338377834,0.807887702505059,"Single-stranded DNA-binding protein"
"clust_0016","group6","ortho_id",8,9259,55,69943,1.0987351389399,0.698473217455751,1,"Lysine-specific permease"
"clust_0016","group4","ortho_id",2,2013,61,77189,1.25721516902894,0.675466846649196,1,"Lysine-specific permease"
"clust_0016","group5","ortho_id",35,43215,28,35987,1.04093585165195,0.899972433390867,1,"Lysine-specific permease"
"clust_0016","group7","ortho_id",1,1437,62,77765,0.872843489707692,1,1,"Lysine-specific permease"
"clust_0016","group2","ortho_id",0,4787,63,74415,0,0.0327641820142711,0.271065098700211,"Lysine-specific permease"
"clust_0016","group3","ortho_id",16,15414,47,63788,1.40878029314451,0.263399515901117,0.907435900715014,"Lysine-specific permease"
"clust_0016","group1","ortho_id",1,3077,62,76125,0.39903546103465,0.520907510383319,1,"Lysine-specific permease"
"clust_0017","group7","ortho_id",1,1437,61,77766,0.887163662982154,1,1,"UDP-glucose 4-epimerase (EC 5.1.3.2)"
"clust_0017","group1","ortho_id",3,3075,59,76128,1.2588281405954,0.520134586839969,1,"UDP-glucose 4-epimerase (EC 5.1.3.2)"
"clust_0017","group4","ortho_id",1,2014,61,77189,0.628300627341549,1,1,"UDP-glucose 4-epimerase (EC 5.1.3.2)"
"clust_0017","group3","ortho_id",8,15422,54,63781,0.612707395393095,0.259686198489707,0.895945010980818,"UDP-glucose 4-epimerase (EC 5.1.3.2)"
"clust_0017","group6","ortho_id",10,9257,52,69946,1.45306456162423,0.31855994110853,1,"UDP-glucose 4-epimerase (EC 5.1.3.2)"
"clust_0017","group5","ortho_id",36,43214,26,35989,1.15311360141533,0.611758401623535,1,"UDP-glucose 4-epimerase (EC 5.1.3.2)"
"clust_0017","group2","ortho_id",3,4784,59,74419,0.790969147973835,1,1,"UDP-glucose 4-epimerase (EC 5.1.3.2)"
"clust_0018","group4","ortho_id",1,2014,61,77189,0.628300627341549,1,1,"Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)"
"clust_0018","group7","ortho_id",0,1438,62,77765,0,0.631704431059471,1,"Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)"
"clust_0018","group2","ortho_id",3,4784,59,74419,0.790969147973835,1,1,"Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)"
"clust_0018","group5","ortho_id",45,43205,17,35998,2.20543479154185,0.00468265671447517,0.0598122252489737,"Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)"
"clust_0018","group1","ortho_id",0,3078,62,76125,0,0.178465418866006,0.779851157455614,"Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)"
"clust_0018","group3","ortho_id",8,15422,54,63781,0.612707395393095,0.259686198489707,0.895945010980818,"Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)"
"clust_0018","group6","ortho_id",5,9262,57,69941,0.66240612011113,0.55055892000986,1,"Inosine-uridine preferring nucleoside hydrolase (EC 3.2.2.1)"
"clust_0019","group3","ortho_id",8,15422,53,63782,0.624277228304038,0.257784807208226,0.892232559505867,"Methionine ABC transporter substrate-binding protein"
"clust_0019","group7","ortho_id",3,1435,58,77769,2.80306333239153,0.0991840917630712,0.521250896121887,"Methionine ABC transporter substrate-binding protein"
"clust_0019","group6","ortho_id",5,9262,56,69942,0.674244308053447,0.548420490714552,1,"Methionine ABC transporter substrate-binding protein"
"clust_0019","group2","ortho_id",6,4781,55,74423,1.69813191836789,0.183943916490941,0.78918972823359,"Methionine ABC transporter substrate-binding protein"
"clust_0019","group4","ortho_id",1,2014,60,77190,0.638780535184727,1,1,"Methionine ABC transporter substrate-binding protein"
"clust_0019","group1","ortho_id",3,3075,58,76129,1.28054856915565,0.513240946741452,1,"Methionine ABC transporter substrate-binding protein"
"clust_0019","group5","ortho_id",35,43215,26,35989,1.12103660932688,0.700923867398404,1,"Methionine ABC transporter substrate-binding protein"
"clust_0020","group6","ortho_id",6,9261,54,69944,0.839201848997038,0.841434410964143,1,"Aminopeptidase C (EC 3.4.22.40)"
"clust_0020","group3","ortho_id",11,15419,49,63786,0.928707244763851,1,1,"Aminopeptidase C (EC 3.4.22.40)"
"clust_0020","group4","ortho_id",2,2013,58,77192,1.32229410948933,0.666091101377286,1,"Aminopeptidase C (EC 3.4.22.40)"
"clust_0020","group1","ortho_id",2,3076,58,76129,0.853426475736973,1,1,"Aminopeptidase C (EC 3.4.22.40)"
"clust_0020","group5","ortho_id",35,43215,25,35990,1.16593502510266,0.605235863193058,1,"Aminopeptidase C (EC 3.4.22.40)"
"clust_0020","group2","ortho_id",3,4784,57,74421,0.818745661880966,1,1,"Aminopeptidase C (EC 3.4.22.40)"
"clust_0020","group7","ortho_id",1,1437,59,77768,0.917260277784283,1,1,"Aminopeptidase C (EC 3.4.22.40)"
"clust_0021","group4","ortho_id",1,2014,59,77191,0.649615692683766,1,1,"Membrane protein involved in the export of O-antigen and teichoic acid"
"clust_0021","group6","ortho_id",10,9257,50,69948,1.51122840586904,0.226637982957089,0.815997156202691,"Membrane protein involved in the export of O-antigen and teichoic acid"
"clust_0021","group2","ortho_id",3,4784,57,74421,0.818745661880966,1,1,"Membrane protein involved in the export of O-antigen and teichoic acid"
"clust_0021","group5","ortho_id",35,43215,25,35990,1.16593502510266,0.605235863193058,1,"Membrane protein involved in the export of O-antigen and teichoic acid"
"clust_0021","group1","ortho_id",2,3076,58,76129,0.853426475736973,1,1,"Membrane protein involved in the export of O-antigen and teichoic acid"
"clust_0021","group7","ortho_id",1,1437,59,77768,0.917260277784283,1,1,"Membrane protein involved in the export of O-antigen and teichoic acid"
"clust_0021","group3","ortho_id",8,15422,52,63783,0.63629204323915,0.25775643911013,0.892229595130817,"Membrane protein involved in the export of O-antigen and teichoic acid"
"clust_0022","group2","ortho_id",3,4784,57,74421,0.818745661880966,1,1,"Similar to tetracycline resistance protein"
"clust_0022","group4","ortho_id",1,2014,59,77191,0.649615692683766,1,1,"Similar to tetracycline resistance protein"
"clust_0022","group7","ortho_id",0,1438,60,77767,0,0.630291451683188,1,"Similar to tetracycline resistance protein"
"clust_0022","group5","ortho_id",47,43203,13,36002,3.01262173796115,0.000217207487419769,0.00494063308549584,"Similar to tetracycline resistance protein"
"clust_0022","group6","ortho_id",3,9264,57,69941,0.397358880916311,0.154840237358434,0.705086174918755,"Similar to tetracycline resistance protein"
"clust_0022","group3","ortho_id",5,15425,55,63780,0.375894238913372,0.0322635656713051,0.267127826981388,"Similar to tetracycline resistance protein"
"clust_0022","group1","ortho_id",1,3077,59,76128,0.419341812085734,0.731559918206001,1,"Similar to tetracycline resistance protein"
"clust_0023","group2","ortho_id",3,4784,56,74422,0.833377905347124,1,1,"Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)"
"clust_0023","group7","ortho_id",1,1437,58,77769,0.933086934313413,1,1,"Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)"
"clust_0023","group3","ortho_id",8,15422,51,63784,0.648778016917802,0.323211155888038,1,"Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)"
"clust_0023","group6","ortho_id",5,9262,54,69944,0.699236026086328,0.546687929519079,1,"Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)"
"clust_0023","group5","ortho_id",39,43211,20,35995,1.62434691002188,0.0886348777049396,0.500973441693474,"Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)"
"clust_0023","group4","ortho_id",1,2014,58,77192,0.660824474659482,1,1,"Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)"
"clust_0023","group1","ortho_id",2,3076,57,76130,0.868410289931386,1,1,"Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)"
"clust_0024","group7","ortho_id",1,1437,58,77769,0.933086934313413,1,1,"Kup system potassium uptake protein"
"clust_0024","group5","ortho_id",35,43215,24,35991,1.21454843783939,0.514269454534685,1,"Kup system potassium uptake protein"
"clust_0024","group6","ortho_id",9,9258,50,69948,1.35996407484212,0.413928517441909,1,"Kup system potassium uptake protein"
"clust_0024","group1","ortho_id",2,3076,57,76130,0.868410289931386,1,1,"Kup system potassium uptake protein"
"clust_0024","group2","ortho_id",3,4784,56,74422,0.833377905347124,1,1,"Kup system potassium uptake protein"
"clust_0024","group4","ortho_id",1,2014,58,77192,0.660824474659482,1,1,"Kup system potassium uptake protein"
"clust_0024","group3","ortho_id",8,15422,51,63784,0.648778016917802,0.323211155888038,1,"Kup system potassium uptake protein"
"clust_0025","group5","ortho_id",42,43208,17,35998,2.05827292347795,0.0123447740718942,0.130196217211578,"ATPase"
"clust_0025","group6","ortho_id",4,9263,55,69943,0.549152360245557,0.311551973950027,1,"ATPase"
"clust_0025","group3","ortho_id",7,15423,52,63783,0.55672235150196,0.186387258834659,0.793687656416337,"ATPase"
"clust_0025","group7","ortho_id",1,1437,58,77769,0.933086934313413,1,1,"ATPase"
"clust_0025","group2","ortho_id",3,4784,56,74422,0.833377905347124,1,1,"ATPase"
"clust_0025","group1","ortho_id",1,3077,58,76129,0.426577405848612,0.730023254766545,1,"ATPase"
"clust_0025","group4","ortho_id",1,2014,58,77192,0.660824474659482,1,1,"ATPase"
"clust_0026","group5","ortho_id",26,43224,32,35983,0.676398514246759,0.147751532098174,0.675081704349941,"Alpha-mannosidase (EC 3.2.1.24)"
"clust_0026","group4","ortho_id",3,2012,55,77195,2.09272388207419,0.182997267923712,0.785439967712269,"Alpha-mannosidase (EC 3.2.1.24)"
"clust_0026","group6","ortho_id",9,9258,49,69949,1.3877370984306,0.409562554203924,1,"Alpha-mannosidase (EC 3.2.1.24)"
"clust_0026","group3","ortho_id",19,15411,39,63796,2.01680703665564,0.0185608734187499,0.175887954778899,"Alpha-mannosidase (EC 3.2.1.24)"
"clust_0026","group2","ortho_id",0,4787,58,74420,0,0.0496466901992819,0.342791528603984,"Alpha-mannosidase (EC 3.2.1.24)"
"clust_0026","group1","ortho_id",1,3077,57,76130,0.434066878663971,0.728636625361134,1,"Alpha-mannosidase (EC 3.2.1.24)"
"clust_0026","group7","ortho_id",0,1438,58,77769,0,0.629285760573405,1,"Alpha-mannosidase (EC 3.2.1.24)"
"clust_0027","group5","ortho_id",36,43214,22,35993,1.36292206604973,0.291743935472771,0.979963497806052,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"
"clust_0027","group6","ortho_id",5,9262,53,69945,0.712439191604814,0.680756209018038,1,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"
"clust_0027","group2","ortho_id",3,4784,55,74423,0.848542202995633,1,1,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"
"clust_0027","group3","ortho_id",10,15420,48,63787,0.86180224294288,0.868001342649487,1,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"
"clust_0027","group7","ortho_id",1,1437,57,77770,0.949468903371193,1,1,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"
"clust_0027","group1","ortho_id",2,3076,56,76131,0.883929224499041,1,1,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"
"clust_0027","group4","ortho_id",1,2014,57,77193,0.672426545369849,1,1,"6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)"
"clust_0028","group2","ortho_id",3,4784,55,74423,0.848542202995633,1,1,"Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)"
"clust_0028","group6","ortho_id",5,9262,53,69945,0.712439191604814,0.680756209018038,1,"Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)"
"clust_0028","group1","ortho_id",3,3075,55,76132,1.35044908293415,0.493055544738842,1,"Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)"
"clust_0028","group5","ortho_id",35,43215,23,35992,1.26738901165053,0.429470012798147,1,"Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)"
"clust_0028","group4","ortho_id",1,2014,57,77193,0.672426545369849,1,1,"Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)"
"clust_0028","group7","ortho_id",2,1436,56,77771,1.93420222953409,0.283613533819218,0.95612345468023,"Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)"
"clust_0028","group3","ortho_id",9,15421,49,63786,0.75973457616959,0.511022385251513,1,"Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)"
"clust_0029","group6","ortho_id",5,9262,53,69945,0.712439191604814,0.680756209018038,1,"4-hydroxybenzoate polyprenyltransferase and related prenyltransferases"
"clust_0029","group4","ortho_id",2,2013,56,77194,1.36953610534849,0.660158689885488,1,"4-hydroxybenzoate polyprenyltransferase and related prenyltransferases"
