id_short_ssu	id_short	id_full	id_full_underscore	id_abbr	genus	species	subspecies	hc_group	fid_locus	genome	id_fasta	gv_clade
20_GV20	GV20	Gardnerella vaginalis HMP9231	Gardnerella_vaginalis_HMP9231	G. vaginalis HMP9231	Gardnerella	vaginalis	NA	5	fid|54188940|locus|VBIGarVag188338_r005|	Gardnerella vaginalis HMP9231	fid|54188940|locus|VBIGarVag188338_r005|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Gardnerella vaginalis HMP9231]	3
21_GV20	GV20	Gardnerella vaginalis HMP9231	Gardnerella_vaginalis_HMP9231	G. vaginalis HMP9231	Gardnerella	vaginalis	NA	5	fid|54191312|locus|VBIGarVag188338_r049|	Gardnerella vaginalis HMP9231	fid|54191312|locus|VBIGarVag188338_r049|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Gardnerella vaginalis HMP9231]	3
22_ADO1	ADO1	Bifidobacterium adolescentis L2-32	Bifidobacterium_adolescentis_L2-32	B. adolescentis L2-32	Bifidobacterium	adolescentis	NA	1	fid|27186786|locus|VBIBifAdo136061_r013|	Bifidobacterium adolescentis L2-32	fid|27186786|locus|VBIBifAdo136061_r013|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium adolescentis L2-32]	NA
23_ADO1	ADO1	Bifidobacterium adolescentis L2-32	Bifidobacterium_adolescentis_L2-32	B. adolescentis L2-32	Bifidobacterium	adolescentis	NA	1	fid|27190317|locus|VBIBifAdo136061_r076|	Bifidobacterium adolescentis L2-32	fid|27190317|locus|VBIBifAdo136061_r076|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium adolescentis L2-32]	NA
24_ANI1	ANI1	Bifidobacterium animalis subsp lactis B420	Bifidobacterium_animalis_subsp_lactis_B420	B. animalis subsp lactis B420	Bifidobacterium	animalis	lactis	2	fid|86847538|locus|VBIBifAni240121_r046|	Bifidobacterium animalis subsp lactis B420	fid|86847538|locus|VBIBifAni240121_r046|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium animalis subsp. lactis B420]	NA
25_ANI1	ANI1	Bifidobacterium animalis subsp lactis B420	Bifidobacterium_animalis_subsp_lactis_B420	B. animalis subsp lactis B420	Bifidobacterium	animalis	lactis	2	fid|86847981|locus|VBIBifAni240121_r055|	Bifidobacterium animalis subsp lactis B420	fid|86847981|locus|VBIBifAni240121_r055|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium animalis subsp. lactis B420]	NA
26_ANI1	ANI1	Bifidobacterium animalis subsp lactis B420	Bifidobacterium_animalis_subsp_lactis_B420	B. animalis subsp lactis B420	Bifidobacterium	animalis	lactis	2	fid|86848140|locus|VBIBifAni240121_r060|	Bifidobacterium animalis subsp lactis B420	fid|86848140|locus|VBIBifAni240121_r060|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium animalis subsp. lactis B420]	NA
27_ANI1	ANI1	Bifidobacterium animalis subsp lactis B420	Bifidobacterium_animalis_subsp_lactis_B420	B. animalis subsp lactis B420	Bifidobacterium	animalis	lactis	2	fid|86848152|locus|VBIBifAni240121_r063|	Bifidobacterium animalis subsp lactis B420	fid|86848152|locus|VBIBifAni240121_r063|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium animalis subsp. lactis B420]	NA
28_ANI2	ANI2	Bifidobacterium animalis subsp lactis Bi-07	Bifidobacterium_animalis_subsp_lactis_Bi-07	B. animalis subsp lactis Bi-07	Bifidobacterium	animalis	lactis	2	fid|86850891|locus|VBIBifAni235968_r046|	Bifidobacterium animalis subsp lactis Bi-07	fid|86850891|locus|VBIBifAni235968_r046|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium animalis subsp. lactis Bi-07]	NA
29_ANI2	ANI2	Bifidobacterium animalis subsp lactis Bi-07	Bifidobacterium_animalis_subsp_lactis_Bi-07	B. animalis subsp lactis Bi-07	Bifidobacterium	animalis	lactis	2	fid|86851330|locus|VBIBifAni235968_r055|	Bifidobacterium animalis subsp lactis Bi-07	fid|86851330|locus|VBIBifAni235968_r055|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium animalis subsp. lactis Bi-07]	NA
30_ANI2	ANI2	Bifidobacterium animalis subsp lactis Bi-07	Bifidobacterium_animalis_subsp_lactis_Bi-07	B. animalis subsp lactis Bi-07	Bifidobacterium	animalis	lactis	2	fid|86851486|locus|VBIBifAni235968_r060|	Bifidobacterium animalis subsp lactis Bi-07	fid|86851486|locus|VBIBifAni235968_r060|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium animalis subsp. lactis Bi-07]	NA
31_ANI2	ANI2	Bifidobacterium animalis subsp lactis Bi-07	Bifidobacterium_animalis_subsp_lactis_Bi-07	B. animalis subsp lactis Bi-07	Bifidobacterium	animalis	lactis	2	fid|86851498|locus|VBIBifAni235968_r063|	Bifidobacterium animalis subsp lactis Bi-07	fid|86851498|locus|VBIBifAni235968_r063|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium animalis subsp. lactis Bi-07]	NA
32_ANI3	ANI3	Bifidobacterium animalis subsp lactis V9	Bifidobacterium_animalis_subsp_lactis_V9	B. animalis subsp lactis V9	Bifidobacterium	animalis	lactis	2	fid|42764910|locus|VBIBifAni108068_r046|	Bifidobacterium animalis subsp lactis V9	fid|42764910|locus|VBIBifAni108068_r046|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium animalis subsp. lactis V9]	NA
33_ANI3	ANI3	Bifidobacterium animalis subsp lactis V9	Bifidobacterium_animalis_subsp_lactis_V9	B. animalis subsp lactis V9	Bifidobacterium	animalis	lactis	2	fid|42765352|locus|VBIBifAni108068_r055|	Bifidobacterium animalis subsp lactis V9	fid|42765352|locus|VBIBifAni108068_r055|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium animalis subsp. lactis V9]	NA
34_ANI3	ANI3	Bifidobacterium animalis subsp lactis V9	Bifidobacterium_animalis_subsp_lactis_V9	B. animalis subsp lactis V9	Bifidobacterium	animalis	lactis	2	fid|42765508|locus|VBIBifAni108068_r060|	Bifidobacterium animalis subsp lactis V9	fid|42765508|locus|VBIBifAni108068_r060|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium animalis subsp. lactis V9]	NA
35_ANI3	ANI3	Bifidobacterium animalis subsp lactis V9	Bifidobacterium_animalis_subsp_lactis_V9	B. animalis subsp lactis V9	Bifidobacterium	animalis	lactis	2	fid|42765520|locus|VBIBifAni108068_r063|	Bifidobacterium animalis subsp lactis V9	fid|42765520|locus|VBIBifAni108068_r063|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium animalis subsp. lactis V9]	NA
36_BIF1	BIF1	Bifidobacterium bifidum BGN4	Bifidobacterium_bifidum_BGN4	B. bifidum BGN4	Bifidobacterium	bifidum	NA	1	fid|86885209|locus|VBIBifBif87902_r038|	Bifidobacterium bifidum BGN4	fid|86885209|locus|VBIBifBif87902_r038|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium bifidum BGN4]	NA
37_BIF1	BIF1	Bifidobacterium bifidum BGN4	Bifidobacterium_bifidum_BGN4	B. bifidum BGN4	Bifidobacterium	bifidum	NA	1	fid|86886216|locus|VBIBifBif87902_r057|	Bifidobacterium bifidum BGN4	fid|86886216|locus|VBIBifBif87902_r057|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium bifidum BGN4]	NA
38_BIF1	BIF1	Bifidobacterium bifidum BGN4	Bifidobacterium_bifidum_BGN4	B. bifidum BGN4	Bifidobacterium	bifidum	NA	1	fid|86886224|locus|VBIBifBif87902_r060|	Bifidobacterium bifidum BGN4	fid|86886224|locus|VBIBifBif87902_r060|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium bifidum BGN4]	NA
39_BRE1	BRE1	Bifidobacterium breve 12L	Bifidobacterium_breve_12L	B. breve 12L	Bifidobacterium	breve	NA	3	fid|268604538|locus|VBIBifBre340958_r036|	Bifidobacterium breve 12L	fid|268604538|locus|VBIBifBre340958_r036|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium breve 12L]	NA
40_BRE1	BRE1	Bifidobacterium breve 12L	Bifidobacterium_breve_12L	B. breve 12L	Bifidobacterium	breve	NA	3	fid|268605727|locus|VBIBifBre340958_r057|	Bifidobacterium breve 12L	fid|268605727|locus|VBIBifBre340958_r057|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium breve 12L]	NA
41_BRE2	BRE2	Bifidobacterium breve 689b	Bifidobacterium_breve_689b	B. breve 689b	Bifidobacterium	breve	NA	3	fid|268608692|locus|VBIBifBre337368_r037|	Bifidobacterium breve 689b	fid|268608692|locus|VBIBifBre337368_r037|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium breve 689b]	NA
42_BRE2	BRE2	Bifidobacterium breve 689b	Bifidobacterium_breve_689b	B. breve 689b	Bifidobacterium	breve	NA	3	fid|268609902|locus|VBIBifBre337368_r058|	Bifidobacterium breve 689b	fid|268609902|locus|VBIBifBre337368_r058|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium breve 689b]	NA
43_BRE3	BRE3	Bifidobacterium breve ACS-071-V-Sch8b	Bifidobacterium_breve_ACS-071-V-Sch8b	B. breve ACS-071-V-Sch8b	Bifidobacterium	breve	NA	3	fid|54192795|locus|VBIBifBre167886_r015|	Bifidobacterium breve ACS-071-V-Sch8b	fid|54192795|locus|VBIBifBre167886_r015|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium breve ACS-071-V-Sch8b]	NA
44_BRE3	BRE3	Bifidobacterium breve ACS-071-V-Sch8b	Bifidobacterium_breve_ACS-071-V-Sch8b	B. breve ACS-071-V-Sch8b	Bifidobacterium	breve	NA	3	fid|54195595|locus|VBIBifBre167886_r058|	Bifidobacterium breve ACS-071-V-Sch8b	fid|54195595|locus|VBIBifBre167886_r058|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium breve ACS-071-V-Sch8b]	NA
45_BRE3	BRE3	Bifidobacterium breve ACS-071-V-Sch8b	Bifidobacterium_breve_ACS-071-V-Sch8b	B. breve ACS-071-V-Sch8b	Bifidobacterium	breve	NA	3	fid|54195601|locus|VBIBifBre167886_r061|	Bifidobacterium breve ACS-071-V-Sch8b	fid|54195601|locus|VBIBifBre167886_r061|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium breve ACS-071-V-Sch8b]	NA
46_BRE4	BRE4	Bifidobacterium breve JCM 7017	Bifidobacterium_breve_JCM_7017	B. breve JCM 7017	Bifidobacterium	breve	NA	3	fid|268612715|locus|VBIBifBre327712_r037|	Bifidobacterium breve JCM 7017	fid|268612715|locus|VBIBifBre327712_r037|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium breve JCM 7017]	NA
47_BRE4	BRE4	Bifidobacterium breve JCM 7017	Bifidobacterium_breve_JCM_7017	B. breve JCM 7017	Bifidobacterium	breve	NA	3	fid|268613944|locus|VBIBifBre327712_r058|	Bifidobacterium breve JCM 7017	fid|268613944|locus|VBIBifBre327712_r058|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium breve JCM 7017]	NA
48_BRE5	BRE5	Bifidobacterium breve JCM 7019	Bifidobacterium_breve_JCM_7019	B. breve JCM 7019	Bifidobacterium	breve	NA	3	fid|268617026|locus|VBIBifBre336369_r040|	Bifidobacterium breve JCM 7019	fid|268617026|locus|VBIBifBre336369_r040|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium breve JCM 7019]	NA
49_BRE5	BRE5	Bifidobacterium breve JCM 7019	Bifidobacterium_breve_JCM_7019	B. breve JCM 7019	Bifidobacterium	breve	NA	3	fid|268618252|locus|VBIBifBre336369_r061|	Bifidobacterium breve JCM 7019	fid|268618252|locus|VBIBifBre336369_r061|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium breve JCM 7019]	NA
50_BRE6	BRE6	Bifidobacterium breve JCP7499	Bifidobacterium_breve_JCP7499	B. breve JCP7499	Bifidobacterium	breve	NA	3	fid|177654401|locus|VBIBifBre268992_r012|	Bifidobacterium breve JCP7499	fid|177654401|locus|VBIBifBre268992_r012|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium breve JCP7499]	NA
51_BRE7	BRE7	Bifidobacterium breve NCFB 2258	Bifidobacterium_breve_NCFB_2258	B. breve NCFB 2258	Bifidobacterium	breve	NA	3	fid|268621095|locus|VBIBifBre340732_r037|	Bifidobacterium breve NCFB 2258	fid|268621095|locus|VBIBifBre340732_r037|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium breve NCFB 2258]	NA
52_BRE7	BRE7	Bifidobacterium breve NCFB 2258	Bifidobacterium_breve_NCFB_2258	B. breve NCFB 2258	Bifidobacterium	breve	NA	3	fid|268622374|locus|VBIBifBre340732_r058|	Bifidobacterium breve NCFB 2258	fid|268622374|locus|VBIBifBre340732_r058|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium breve NCFB 2258]	NA
53_BRE8	BRE8	Bifidobacterium breve S27	Bifidobacterium_breve_S27	B. breve S27	Bifidobacterium	breve	NA	3	fid|268625261|locus|VBIBifBre176493_r037|	Bifidobacterium breve S27	fid|268625261|locus|VBIBifBre176493_r037|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium breve S27]	NA
54_BRE8	BRE8	Bifidobacterium breve S27	Bifidobacterium_breve_S27	B. breve S27	Bifidobacterium	breve	NA	3	fid|268626403|locus|VBIBifBre176493_r058|	Bifidobacterium breve S27	fid|268626403|locus|VBIBifBre176493_r058|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium breve S27]	NA
55_BRE8	BRE8	Bifidobacterium breve S27	Bifidobacterium_breve_S27	B. breve S27	Bifidobacterium	breve	NA	3	fid|268626409|locus|VBIBifBre176493_r061|	Bifidobacterium breve S27	fid|268626409|locus|VBIBifBre176493_r061|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium breve S27]	NA
56_BRE9	BRE9	Bifidobacterium breve UCC2003	Bifidobacterium_breve_UCC2003	B. breve UCC2003	Bifidobacterium	breve	NA	4	fid|58446903|locus|VBIBifBre30019_r038|	Bifidobacterium breve UCC2003	fid|58446903|locus|VBIBifBre30019_r038|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium breve UCC2003]	NA
57_BRE9	BRE9	Bifidobacterium breve UCC2003	Bifidobacterium_breve_UCC2003	B. breve UCC2003	Bifidobacterium	breve	NA	4	fid|58448172|locus|VBIBifBre30019_r059|	Bifidobacterium breve UCC2003	fid|58448172|locus|VBIBifBre30019_r059|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium breve UCC2003]	NA
58_INF1	INF1	Bifidobacterium longum subsp infantis 157F	Bifidobacterium_longum_subsp_infantis_157F	B. longum subsp infantis 157F	Bifidobacterium	longum	infantis	6	fid|46886790|locus|VBIBifLon182273_r045|	Bifidobacterium longum subsp infantis 157F	fid|46886790|locus|VBIBifLon182273_r045|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium longum subsp. infantis 157F]	NA
59_INF1	INF1	Bifidobacterium longum subsp infantis 157F	Bifidobacterium_longum_subsp_infantis_157F	B. longum subsp infantis 157F	Bifidobacterium	longum	infantis	6	fid|46887767|locus|VBIBifLon182273_r063|	Bifidobacterium longum subsp infantis 157F	fid|46887767|locus|VBIBifLon182273_r063|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium longum subsp. infantis 157F]	NA
60_INF1	INF1	Bifidobacterium longum subsp infantis 157F	Bifidobacterium_longum_subsp_infantis_157F	B. longum subsp infantis 157F	Bifidobacterium	longum	infantis	6	fid|46888012|locus|VBIBifLon182273_r068|	Bifidobacterium longum subsp infantis 157F	fid|46888012|locus|VBIBifLon182273_r068|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium longum subsp. infantis 157F]	NA
61_INF1	INF1	Bifidobacterium longum subsp infantis 157F	Bifidobacterium_longum_subsp_infantis_157F	B. longum subsp infantis 157F	Bifidobacterium	longum	infantis	6	fid|46888025|locus|VBIBifLon182273_r071|	Bifidobacterium longum subsp infantis 157F	fid|46888025|locus|VBIBifLon182273_r071|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium longum subsp. infantis 157F]	NA
62_LON1	LON1	Bifidobacterium longum NCC2705	Bifidobacterium_longum_NCC2705	B. longum NCC2705	Bifidobacterium	longum	NA	6	fid|21117311|locus|VBIBifLon107831_r002|	Bifidobacterium longum NCC2705	fid|21117311|locus|VBIBifLon107831_r002|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium longum NCC2705]	NA
63_LON1	LON1	Bifidobacterium longum NCC2705	Bifidobacterium_longum_NCC2705	B. longum NCC2705	Bifidobacterium	longum	NA	6	fid|21119973|locus|VBIBifLon107831_r045|	Bifidobacterium longum NCC2705	fid|21119973|locus|VBIBifLon107831_r045|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium longum NCC2705]	NA
64_LON1	LON1	Bifidobacterium longum NCC2705	Bifidobacterium_longum_NCC2705	B. longum NCC2705	Bifidobacterium	longum	NA	6	fid|21119979|locus|VBIBifLon107831_r048|	Bifidobacterium longum NCC2705	fid|21119979|locus|VBIBifLon107831_r048|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium longum NCC2705]	NA
65_LON1	LON1	Bifidobacterium longum NCC2705	Bifidobacterium_longum_NCC2705	B. longum NCC2705	Bifidobacterium	longum	NA	6	fid|21120286|locus|VBIBifLon107831_r053|	Bifidobacterium longum NCC2705	fid|21120286|locus|VBIBifLon107831_r053|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium longum NCC2705]	NA
66_LON2	LON2	Bifidobacterium longum subsp longum BBMN68	Bifidobacterium_longum_subsp_longum_BBMN68	B. longum subsp longum BBMN68	Bifidobacterium	longum	longum	6	fid|42579869|locus|VBIBifLon171405_r002|	Bifidobacterium longum subsp longum BBMN68	fid|42579869|locus|VBIBifLon171405_r002|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium longum subsp. longum BBMN68]	NA
67_LON2	LON2	Bifidobacterium longum subsp longum BBMN68	Bifidobacterium_longum_subsp_longum_BBMN68	B. longum subsp longum BBMN68	Bifidobacterium	longum	longum	6	fid|42582547|locus|VBIBifLon171405_r043|	Bifidobacterium longum subsp longum BBMN68	fid|42582547|locus|VBIBifLon171405_r043|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium longum subsp. longum BBMN68]	NA
68_LON2	LON2	Bifidobacterium longum subsp longum BBMN68	Bifidobacterium_longum_subsp_longum_BBMN68	B. longum subsp longum BBMN68	Bifidobacterium	longum	longum	6	fid|42582801|locus|VBIBifLon171405_r048|	Bifidobacterium longum subsp longum BBMN68	fid|42582801|locus|VBIBifLon171405_r048|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium longum subsp. longum BBMN68]	NA
69_LON3	LON3	Bifidobacterium longum subsp longum F8	Bifidobacterium_longum_subsp_longum_F8	B. longum subsp longum F8	Bifidobacterium	longum	longum	6	fid|42765619|locus|VBIBifLon156230_r001|	Bifidobacterium longum subsp longum F8	fid|42765619|locus|VBIBifLon156230_r001|   Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA   [Bifidobacterium longum subsp. longum F8]	NA
