"","ortho_id","top_hit"
"40","clust_0040","Phosphate transport system permease protein PstC (TC 3.A.1.7.1)"
"41","clust_0041","Phosphopantetheine adenylyltransferase (EC 2.7.7.3)"
"42","clust_0042","FIG00672109: hypothetical protein"
"43","clust_0043","Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)"
"44","clust_0044","putative glycosyl transferase domain protein"
"45","clust_0045","Zinc ABC transporter, periplasmic-binding protein ZnuA"
"46","clust_0046","FIG00423848: hypothetical protein"
"47","clust_0047","Kup system potassium uptake protein"
"48","clust_0048","Putative deoxyribonuclease YcfH"
"49","clust_0049","probable permease protein of ABC transporter system"
"50","clust_0050","probable permease protein of ABC transporter system"
"51","clust_0051","Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)"
"52","clust_0052","Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)"
"53","clust_0053","Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)"
"54","clust_0054","binding-protein-dependent transport systems inner membrane component"
"55","clust_0055","Aminopeptidase C (EC 3.4.22.40)"
"56","clust_0056","hypothetical protein"
"57","clust_0057","Formate--tetrahydrofolate ligase (EC 6.3.4.3)"
"58","clust_0058","putative dipeptidase"
"59","clust_0059","Phospholipid-binding protein"
"60","clust_0060","phosphoesterase, PA-phosphatase related"
"61","clust_0061","Heat shock protein GrpE"
"62","clust_0062","Chaperone protein DnaK"
"63","clust_0063","putative ABC transport system membrane protein"
"64","clust_0064","Maltose/maltodextrin ABC transporter, substrate binding periplasmic protein MalE"
"65","clust_0065","Maltose/maltodextrin ABC transporter, permease protein MalF"
"66","clust_0066","Maltose/maltodextrin ABC transporter, permease protein MalG"
"67","clust_0067","Pullulanase (EC 3.2.1.41)"
"68","clust_0068","4-hydroxybenzoate polyprenyltransferase and related prenyltransferases"
"69","clust_0069","Multiple sugar ABC transporter, membrane-spanning permease protein MsmG"
"70","clust_0070","Multiple sugar ABC transporter, membrane-spanning permease protein MsmF"
"71","clust_0071","MSM (multiple sugar metabolism) operon regulatory protein"
"72","clust_0072","putative phosphoglycerate mutase family protein"
"73","clust_0073","Aspartate aminotransferase (EC 2.6.1.1)"
"74","clust_0074","FIG00672200: hypothetical protein"
"75","clust_0075","response regulator of two-component system"
"76","clust_0076","FIG00672423: hypothetical protein"
"77","clust_0077","Nitroreductase"
"78","clust_0078","FIG00672046: hypothetical protein"
"79","clust_0079","DNA ligase (EC 6.5.1.2)"
"80","clust_0080","Septum site-determining protein MinD"
"81","clust_0081","ATPase involved in DNA repair"
"82","clust_0082","Histidyl-tRNA synthetase (EC 6.1.1.21)"
"83","clust_0083","glutamate-binding protein of ABC transporter system"
"84","clust_0084","ABC-type amino acid transport system, permease component"
"85","clust_0085","ABC-type amino acid transport system, permease component"
"86","clust_0086","UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)"
"87","clust_0087","FIG00672037: hypothetical protein"
"88","clust_0088","FIG005666: putative helicase"
"89","clust_0089","FIG00672385: hypothetical protein"
"90","clust_0090","Phosphoglycolate phosphatase (EC 3.1.3.18)"
"91","clust_0091","FIG00672252: hypothetical protein"
"92","clust_0092","FIG00672531: hypothetical protein"
"93","clust_0093","Division initiation protein"
"94","clust_0094","FIG025307: hypothetical protein"
"95","clust_0095","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)"
"96","clust_0096","Ribulose-phosphate 3-epimerase (EC 5.1.3.1)"
"97","clust_0097","Prolipoprotein diacylglyceryl transferase (EC 2.4.99.-)"
"98","clust_0098","Phosphatidate cytidylyltransferase (EC 2.7.7.41)"
"99","clust_0099","Ribosome recycling factor"
"100","clust_0100","Uridylate kinase (EC 2.7.4.-)"
"101","clust_0101","Translation elongation factor Ts"
"102","clust_0102","SSU ribosomal protein S2p (SAe)"
"103","clust_0103","Peptide deformylase (EC 3.5.1.88)"
"104","clust_0104","Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)"
"105","clust_0105","FIG00671996: hypothetical protein"
"106","clust_0106","Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)"
"107","clust_0107","Excinuclease ABC subunit C"
"108","clust_0108","Excinuclease ABC subunit A"
"109","clust_0109","FIG00424960: hypothetical protein"
"110","clust_0110","probable aminotransferase"
"111","clust_0111","Polyphosphate glucokinase (EC 2.7.1.63)"
"112","clust_0112","probable glycosyltransferase"
"113","clust_0113","Substrate-specific component RibU of riboflavin ECF transporter"
"114","clust_0114","ATPase component of general energizing module of ECF transporters"
"115","clust_0115","FIG004454: RNA binding protein"
"116","clust_0116","Helicase, C-terminal:DEAD/DEAH box helicase, N-terminal"
"117","clust_0117","GTP-binding protein EngA"
"118","clust_0118","Ribosomal large subunit pseudouridine synthase B (EC 4.2.1.70)"
"119","clust_0119","IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)"
"120","clust_0120","Permeases"
"121","clust_0121","Adenine phosphoribosyltransferase (EC 2.4.2.7)"
"122","clust_0122","Preprotein translocase subunit YajC (TC 3.A.5.1.1)"
"123","clust_0123","Holliday junction DNA helicase RuvB"
"124","clust_0124","Holliday junction DNA helicase RuvA"
"125","clust_0125","Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)"
"126","clust_0126","FIG000859: hypothetical protein"
"127","clust_0127","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)"
"128","clust_0128","Threonyl-tRNA synthetase (EC 6.1.1.3)"
"129","clust_0129","FIG00356309: hypothetical protein"
"130","clust_0130","Putative ABC transport system membrane protein"
"131","clust_0131","Putative ABC transport system ATP-binding protein"
"132","clust_0132","NAD(P)HX dehydratase"
"133","clust_0133","possible alpha beta hydrolase"
"134","clust_0134","Methionine biosynthesis and transport regulator MtaR, LysR family"
"135","clust_0135","FIG00425858: hypothetical protein"
"136","clust_0136","Translation elongation factor LepA"
"137","clust_0137","FIG00672255: hypothetical protein"
"138","clust_0138","Branched-chain amino acid aminotransferase (EC 2.6.1.42)"
"139","clust_0139","FIG000233: metal-dependent hydrolase"
"140","clust_0140","Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.-)"
"141","clust_0141","Succinate dehydrogenase iron-sulfur protein (EC 1.3.99.1)"
"142","clust_0142","FIG00424614: hypothetical protein"
"143","clust_0143","Na+/H+ antiporter NhaA type"
"144","clust_0144","ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)"
"145","clust_0145","ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92)"
"146","clust_0146","Cell division trigger factor (EC 5.2.1.8)"
"147","clust_0147","Ribonuclease D (EC 3.1.26.3)"
"148","clust_0148","Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)"
"149","clust_0149","NAD synthetase (EC 6.3.1.5) / Glutamine amidotransferase chain of NAD synthetase"
"150","clust_0150","Methionine ABC transporter substrate-binding protein"
"151","clust_0151","Methionine ABC transporter ATP-binding protein"
"152","clust_0152","Methionine ABC transporter permease protein"
"153","clust_0153","""Peptidyl-prolyl cis-trans isomerase """
"154","clust_0154","Inositol-1-monophosphatase (EC 3.1.3.25)"
"155","clust_0155","Methionyl-tRNA formyltransferase (EC 2.1.2.9)"
"156","clust_0156","Chaperone protein DnaJ"
"157","clust_0157","Heat-inducible transcription repressor HrcA"
"158","clust_0158","Transketolase (EC 2.2.1.1)"
"159","clust_0159","Transaldolase (EC 2.2.1.2)"
"160","clust_0160","Hydrolase, haloacid dehalogenase-like family"
"161","clust_0161","Triosephosphate isomerase (EC 5.3.1.1)"
"162","clust_0162","Phosphoglycerate kinase (EC 2.7.2.3)"
"163","clust_0163","Cytoplasmic hypothetical protein DUF199, a subgroup"
"164","clust_0164","Hypothetical ATP-binding protein UPF0042, contains P-loop"
"165","clust_0165","Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)"
"166","clust_0166","Helicase PriA essential for oriC/DnaA-independent DNA replication"
"167","clust_0167","S-adenosylmethionine synthetase (EC 2.5.1.6)"
"168","clust_0168","DNA-directed RNA polymerase omega subunit (EC 2.7.7.6)"
"169","clust_0169","Guanylate kinase (EC 2.7.4.8)"
"170","clust_0170","Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)"
"171","clust_0171","Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)"
"172","clust_0172","Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)"
"173","clust_0173","Translation elongation factor P"
"174","clust_0174","Orotate phosphoribosyltransferase (EC 2.4.2.10)"
"175","clust_0175","Dihydroorotate dehydrogenase, catalytic subunit (EC 1.3.3.1)"
"176","clust_0176","Dihydroorotate dehydrogenase electron transfer subunit (EC 1.3.3.1)"
"177","clust_0177","Dihydroorotase (EC 3.5.2.3)"
"178","clust_0178","Aspartate carbamoyltransferase (EC 2.1.3.2)"
"179","clust_0179","Glutamate-ammonia-ligase adenylyltransferase (EC 2.7.7.42)"
"180","clust_0180","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)"
"181","clust_0181","Protein-L-isoaspartate methyltransferase (EC 2.1.1.77)"
"182","clust_0182","YgjD/Kae1/Qri7 family, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA"
"183","clust_0183","Ribosomal-protein-S18p-alanine acetyltransferase (EC 2.3.1.-)"
"184","clust_0184","Inactive homolog of metal-dependent proteases, putative molecular chaperone"
"185","clust_0185","DNA polymerase III delta subunit (EC 2.7.7.7)"
"186","clust_0186","FIG00672410: hypothetical protein"
"187","clust_0187","Leucyl-tRNA synthetase (EC 6.1.1.4)"
"188","clust_0188","Ribulosamine/erythrulosamine 3-kinase potentially involved in protein deglycation"
"189","clust_0189","FIG00672120: hypothetical protein"
"190","clust_0190","Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)"
"191","clust_0191","hypothetical protein"
"192","clust_0192","Lysine-specific permease"
"193","clust_0193","Permease of the drug/metabolite transporter (DMT) superfamily"
"194","clust_0194","FIG00672032: hypothetical protein"
"195","clust_0195","Hypothetical, related to broad specificity phosphatases COG0406"
"196","clust_0196","Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)"
"197","clust_0197","Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)"
"198","clust_0198","FIG00423917: hypothetical protein"
"199","clust_0199","Gamma-glutamyl phosphate reductase (EC 1.2.1.41)"
"200","clust_0200","Threonine synthase (EC 4.2.3.1)"
"201","clust_0201","RecX-like protein"
"202","clust_0202","RecA protein"
"203","clust_0203","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)"
"204","clust_0204","Phosphoribosylglycinamide formyltransferase 2 (EC 2.1.2.-)"
"205","clust_0205","Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)"
"206","clust_0206","Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3) / Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)"
"207","clust_0207","Amidophosphoribosyltransferase (EC 2.4.2.14)"
"208","clust_0208","Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)"
"209","clust_0209","Phosphoribosylamine--glycine ligase (EC 6.3.4.13)"
"210","clust_0210","FIG00671960: hypothetical protein"
"211","clust_0211","Putative esterase family"
"212","clust_0212","Putative membrane protein"
"213","clust_0213","Phosphoribosylaminoimidazole carboxylase catalytic subunit (EC 4.1.1.21)"
"214","clust_0214","Phosphoribosylaminoimidazole carboxylase ATPase subunit (EC 4.1.1.21)"
"215","clust_0215","possible transport protein"
"216","clust_0216","COG0028: Thiamine pyrophosphate-requiring enzymes"
"217","clust_0217","DNA primase (EC 2.7.7.-)"
"218","clust_0218","Deoxyguanosinetriphosphate triphosphohydrolase (EC 3.1.5.1)"
"219","clust_0219","Alanine racemase (EC 5.1.1.1)"
"220","clust_0220","S-ribosylhomocysteine lyase (EC 4.4.1.21) / Autoinducer-2 production protein LuxS"
"221","clust_0221","Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)"
"222","clust_0222","Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)"
"223","clust_0223","Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)"
"224","clust_0224","solute binding protein of ABC transporter systemy for peptides"
"225","clust_0225","Pyridoxine biosynthesis glutamine amidotransferase, synthase subunit (EC 2.4.2.-)"
"226","clust_0226","Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)"
"227","clust_0227","ABC-type sugar transport system, periplasmic component"
"228","clust_0228","Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)"
"229","clust_0229","ATP binding protein of ABC transporter"
"230","clust_0230","probable solute binding protein of ABC transporter system"
"231","clust_0231","tmRNA-binding protein SmpB"
"232","clust_0232","FIG00672196: hypothetical protein"
"233","clust_0233","Cell division protein FtsX"
"234","clust_0234","Cell division transporter, ATP-binding protein FtsE (TC 3.A.5.1.1)"
"235","clust_0235","Peptide chain release factor 2"
"236","clust_0236","Methionine aminopeptidase (EC 3.4.11.18)"
"237","clust_0237","Single-stranded DNA-binding protein"
"238","clust_0238","Prolyl-tRNA synthetase (EC 6.1.1.15)"
"239","clust_0239","Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)"
"240","clust_0240","Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)"
"241","clust_0241","Peptide chain release factor 1"
"242","clust_0242","LSU ribosomal protein L31p"
"243","clust_0243","FIG00672294: hypothetical protein"
"244","clust_0244","Translation elongation factor G"
"245","clust_0245","UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)"
"246","clust_0246","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)"
"247","clust_0247","Cell division protein FtsW"
"248","clust_0248","UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)"
"249","clust_0249","Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)"
"250","clust_0250","UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase (EC 6.3.2.10)"
"251","clust_0251","UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)"
"252","clust_0252","FIG00672525: hypothetical protein"
"253","clust_0253","rRNA small subunit methyltransferase H"
"254","clust_0254","Glutamine synthetase type I (EC 6.3.1.2)"
"255","clust_0255","FIG00671949: hypothetical protein"
"256","clust_0256","DNA polymerase III alpha subunit (EC 2.7.7.7)"
"257","clust_0257","Ribosomal large subunit pseudouridine synthase D (EC 4.2.1.70)"
"258","clust_0258","Lipoprotein signal peptidase (EC 3.4.23.36)"
"259","clust_0259","FIG00672036: hypothetical protein"
"260","clust_0260","UDP-glucose 4-epimerase (EC 5.1.3.2)"
"261","clust_0261","ABC transporter, ATP-binding/permease protein"
"262","clust_0262","Lipid A export ATP-binding/permease protein MsbA"
"263","clust_0263","Ribonucleotide reductase of class III (anaerobic), activating protein (EC 1.97.1.4)"
"264","clust_0264","Ribonucleotide reductase of class III (anaerobic), large subunit (EC 1.17.4.2)"
"265","clust_0265","FIG00671984: hypothetical protein"
"266","clust_0266","FIG027937: secreted protein"
"267","clust_0267","Cell division protein FtsH (EC 3.4.24.-)"
"268","clust_0268","Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)"
"269","clust_0269","tRNA(Ile)-lysidine synthetase"
"270","clust_0270","D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)"
"271","clust_0271","FIG00671939: hypothetical protein"
"272","clust_0272","Glutamine synthetase type I (EC 6.3.1.2)"
"273","clust_0273","ABC transporter, ATP-binding protein Vex2"
"274","clust_0274","FIG00672106: hypothetical protein"
"275","clust_0275","ABC transporter membrane-spanning permease, Pep export, Vex3"
"276","clust_0276","Peptide deformylase (EC 3.5.1.88)"
"277","clust_0277","Phosphoglucosamine mutase (EC 5.4.2.10)"
"278","clust_0278","Membrane alanine aminopeptidase N (EC 3.4.11.2)"
"279","clust_0279","Zn-dependent hydrolase, RNA-metabolising, CPSF 100 kDa analog"
"280","clust_0280","ATP-dependent DNA helicase SCO5184"
"281","clust_0281","ATP-dependent DNA helicase SCO5183"
"282","clust_0282","DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)"
"283","clust_0283","DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)"
"284","clust_0284","FIG00848225: hypothetical protein"
"285","clust_0285","ACT domain protein"
"286","clust_0286","FIG00671968: hypothetical protein"
"287","clust_0287","putative polysaccharide ABC transporter, ATP-binding protein"
"288","clust_0288","Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2) / Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2); Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)"
"289","clust_0289","Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14) / Biotin carboxyl carrier protein of acetyl-CoA carboxylase"
"290","clust_0290","COG1879: ABC-type sugar transport system, periplasmic component"
"291","clust_0291","LSU ribosomal protein L1p (L10Ae)"
"292","clust_0292","LSU ribosomal protein L11p (L12e)"
"293","clust_0293","Preprotein translocase subunit SecE (TC 3.A.5.1.1)"
"294","clust_0294","putative membrane protein"
"295","clust_0295","Homoserine kinase (EC 2.7.1.39)"
"296","clust_0296","FIG00672090: hypothetical protein"
"297","clust_0297","D-alanine--D-alanine ligase (EC 6.3.2.4)"
"298","clust_0298","Zinc ABC transporter, ATP-binding protein ZnuC"
"299","clust_0299","Zinc ABC transporter, periplasmic-binding protein ZnuA"
"300","clust_0300","FIG00672107: hypothetical protein"
"301","clust_0301","Nicotinamidase (EC 3.5.1.19)"
"302","clust_0302","Oligo-1,6-glucosidase (EC 3.2.1.10)"
"303","clust_0303","2-dehydropantoate 2-reductase (EC 1.1.1.169)"
"304","clust_0304","tRNA-specific adenosine-34 deaminase (EC 3.5.4.-)"
"305","clust_0305","FIG00672339: hypothetical protein"
"306","clust_0306","23S rRNA (guanosine-2'-O-) -methyltransferase rlmB (EC 2.1.1.-)"
"307","clust_0307","cation-transporting ATPase PacL"
"308","clust_0308","Deoxycytidine triphosphate deaminase (EC 3.5.4.13)"
"309","clust_0309","Alkyl hydroperoxide reductase protein F (EC 1.6.4.-)"
"310","clust_0310","Alkyl hydroperoxide reductase protein C (EC 1.6.4.-)"
"311","clust_0311","Ferredoxin--NADP(+) reductase, actinobacterial (eukaryote-like) type (EC 1.18.1.2)"
"312","clust_0312","Non-specific DNA-binding protein Dps / Iron-binding ferritin-like antioxidant protein / Ferroxidase (EC 1.16.3.1)"
"313","clust_0313","Hemolysins and related proteins containing CBS domains"
"314","clust_0314","FIG00671951: hypothetical protein"
"315","clust_0315","permease"
"316","clust_0316","Carbonic anhydrase (EC 4.2.1.1)"
"317","clust_0317","Phosphoenolpyruvate carboxylase (EC 4.1.1.31)"
"318","clust_0318","Tryptophanyl-tRNA synthetase (EC 6.1.1.2)"
"319","clust_0319","FIG00672454: hypothetical protein"
"320","clust_0320","FIG00423899: hypothetical protein"
"321","clust_0321","Glycogen phosphorylase (EC 2.4.1.1)"
"322","clust_0322","FIG00672021: hypothetical protein"
"323","clust_0323","FIG00672446: hypothetical protein"
"324","clust_0324","FIG00672289: hypothetical protein"
"325","clust_0325","FIG215594: Membrane spanning protein"
"326","clust_0326","Sortase (surface protein transpeptidase)"
"327","clust_0327","Serine/threonine protein kinase PrkC, regulator of stationary phase"
"328","clust_0328","Serine/threonine protein kinase"
"329","clust_0329","Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)"
"330","clust_0330","Cell division protein FtsW"
"331","clust_0331","Serine/threonine phosphatase PPP (EC 3.1.3.16)"
"332","clust_0332","FIG00818182: hypothetical protein"
"333","clust_0333","Adenylate cyclase (EC 4.6.1.1)"
"334","clust_0334","Large-conductance mechanosensitive channel"
"335","clust_0335","FIG187021: hypothetical protein"
"336","clust_0336","DNA gyrase subunit A (EC 5.99.1.3)"
"337","clust_0337","DNA gyrase subunit B (EC 5.99.1.3)"
"338","clust_0338","COG5512: Zn-ribbon-containing, possibly RNA-binding protein and truncated derivatives"
"339","clust_0339","DNA recombination and repair protein RecF"
"340","clust_0340","DNA polymerase III beta subunit (EC 2.7.7.7)"
"341","clust_0341","Chromosomal replication initiator protein DnaA"
"342","clust_0342","Inner membrane protein translocase component YidC, long form"
"343","clust_0343","RNA-binding protein Jag"
"344","clust_0344","rRNA small subunit 7-methylguanosine (m7G) methyltransferase GidB"
"345","clust_0345","Chromosome (plasmid) partitioning protein ParA / Sporulation initiation inhibitor protein Soj"
"346","clust_0346","Chromosome (plasmid) partitioning protein ParB / Stage 0 sporulation protein J"
"347","clust_0347","Thioredoxin reductase (EC 1.8.1.9)"
"348","clust_0348","FIG00672312: hypothetical protein"
"349","clust_0349","Virulence factor mviN"
"350","clust_0350","FIG00672429: hypothetical protein"
"351","clust_0351","FIG00672548: hypothetical protein"
"352","clust_0352","tRNA nucleotidyltransferase (EC 2.7.7.21) (EC 2.7.7.25)"
"353","clust_0353","Dimethyladenosine transferase (EC 2.1.1.-)"
"354","clust_0354","FIG00672245: hypothetical protein"
"355","clust_0355","COG0515: Serine/threonine protein kinase"
"356","clust_0356","FIG00672431: hypothetical protein"
"357","clust_0357","Maltose/maltodextrin transport ATP-binding protein MalK (EC 3.6.3.19)"
"358","clust_0358","Chromosome segregation ATPases"
"359","clust_0359","Glutaredoxin and related proteins"
"360","clust_0360","Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1)"
"361","clust_0361","Ammonium transporter"
"362","clust_0362","DNA-damage-inducible protein F"
"363","clust_0363","Replicative DNA helicase (EC 3.6.1.-)"
"364","clust_0364","proposed amino acid ligase found clustered with an amidotransferase"
"365","clust_0365","Putative amidotransferase similar to cobyric acid synthase"
"366","clust_0366","Uracil phosphoribosyltransferase (EC 2.4.2.9)"
"367","clust_0367","probable MutT1 protein"
"368","clust_0368","Glycerol uptake facilitator protein"
"369","clust_0369","Hypothetical protein YggS, proline synthase co-transcribed bacterial homolog PROSC"
"370","clust_0370","Fumarylacetoacetate hydrolase family protein"
"371","clust_0371","DNA recombination protein RmuC"
"372","clust_0372","rRNA methylases"
"373","clust_0373","ABC transporter, ATP-binding protein"
"374","clust_0374","ABC transporter, integral membrane subunit"
"375","clust_0375","Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7)"
"376","clust_0376","Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7)"
"377","clust_0377","Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7)"
"378","clust_0378","Protein often found in Actinomycetes clustered with signal peptidase and/or RNaseHII"
"379","clust_0379","Protoporphyrinogen oxidase"
"380","clust_0380","Transcription termination factor Rho"
"381","clust_0381","Transcriptional regulator, AsnC family"
"382","clust_0382","Chorismate mutase I (EC 5.4.99.5)"
"383","clust_0383","Adenylosuccinate synthetase (EC 6.3.4.4)"
"384","clust_0384","FIG00672344: hypothetical protein"
"385","clust_0385","Chloride channel protein"
"386","clust_0386","FIG00672281: hypothetical protein"
"387","clust_0387","FIG00672087: hypothetical protein"
"388","clust_0388","FIG00672517: hypothetical protein"
"389","clust_0389","FIG00672019: hypothetical protein"
"390","clust_0390","hypothetical protein"
"391","clust_0391","FIG00672510: hypothetical protein"
"392","clust_0392","DNA polymerase III subunits gamma and tau (EC 2.7.7.7)"
"393","clust_0393","Recombination protein RecR"
"394","clust_0394","Aspartokinase (EC 2.7.2.4)"
"395","clust_0395","Aspartokinase (EC 2.7.2.4)"
"396","clust_0396","FIG00672068: hypothetical protein"
"397","clust_0397","FIG00672484: hypothetical protein"
"398","clust_0398","large transmembrane protein possibly involved in transport"
"399","clust_0399","amino acid permease"
"400","clust_0400","possible secreted peptidyl-prolyl cis-trans isomerase protein"
"401","clust_0401","FIG00672346: hypothetical protein"
"402","clust_0402","COG3118: Thioredoxin domain-containing protein EC-YbbN"
"403","clust_0403","ATP synthase A chain (EC 3.6.3.14)"
"404","clust_0404","ATP synthase C chain (EC 3.6.3.14)"
"405","clust_0405","ATP synthase B chain (EC 3.6.3.14)"
"406","clust_0406","FIG00672165: hypothetical protein"
"407","clust_0407","ATP synthase alpha chain (EC 3.6.3.14)"
"408","clust_0408","ATP synthase gamma chain (EC 3.6.3.14)"
"409","clust_0409","ATP synthase beta chain (EC 3.6.3.14)"
"410","clust_0410","ATP synthase epsilon chain (EC 3.6.3.14)"
"411","clust_0411","FIG00672065: hypothetical protein"
"412","clust_0412","Putative high-affinity iron permease"
"413","clust_0413","Periplasmic protein p19 involved in high-affinity Fe2+ transport"
"414","clust_0414","Ferrous iron transport permease EfeU"
"415","clust_0415","possible permease protein of ABC transporter system"
"416","clust_0416","ABC-type antimicrobial peptide transport system, ATPase component"
