short_id	genome_name	accession	annotation	feature_type	na_feature_id	locus_tag	gene	product	ec_number	ec_name	figfam_id	go_id	go_term	pathway_id	pathway_name	ortho_id	id_short
fid|37853135|locus|VBIGarVag144721_0236	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37853135	VBIGarVag144721_0236	NA	Preprotein translocase subunit SecG (TC 3.A.5.1.1)	NA	NA	FIG00001563	GO:0015450	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA	NA	clust_2416	GV12
fid|37853135|locus|VBIGarVag144721_0236	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37853135	VBIGarVag144721_0236	NA	Preprotein translocase subunit SecG (TC 3.A.5.1.1)	NA	NA	FIG00001563	GO:0009306	protein secretion	NA	NA	clust_2416	GV12
fid|37853365|locus|VBIGarVag144721_0346	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37853365	VBIGarVag144721_0346	NA	hypothetical protein	NA	NA	FIG00638284	NA	NA	NA	NA	clust_2420	GV12
fid|37853619|locus|VBIGarVag144721_0469	Gardnerella vaginalis 5-1	NZ_ADAN01000003	PATRIC	CDS	37853619	VBIGarVag144721_0469	NA	hypothetical protein	NA	NA	FIG00638284	NA	NA	NA	NA	clust_2424	GV12
fid|37853761|locus|VBIGarVag144721_0536	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37853761	VBIGarVag144721_0536	NA	hypothetical protein	NA	NA	FIG00638284	NA	NA	NA	NA	clust_2427	GV12
fid|37853763|locus|VBIGarVag144721_0537	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37853763	VBIGarVag144721_0537	NA	DNA-binding response regulator, LuxR family	NA	NA	FIG01307606	NA	NA	NA	NA	clust_2428	GV12
fid|37853767|locus|VBIGarVag144721_0539	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37853767	VBIGarVag144721_0539	NA	hypothetical protein	NA	NA	FIG00638284	NA	NA	NA	NA	clust_2429	GV12
fid|37854343|locus|VBIGarVag144721_0814	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854343	VBIGarVag144721_0814	NA	hypothetical protein	NA	NA	FIG01769839	NA	NA	NA	NA	clust_2435	GV12
fid|37854409|locus|VBIGarVag144721_0847	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854409	VBIGarVag144721_0847	NA	SSU ribosomal protein S16p	NA	NA	FIG00000193	GO:0006412	translation	NA	NA	clust_2438	GV12
fid|37854409|locus|VBIGarVag144721_0847	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854409	VBIGarVag144721_0847	NA	SSU ribosomal protein S16p	NA	NA	FIG00000193	GO:0003735	structural constituent of ribosome	NA	NA	clust_2438	GV12
fid|37854409|locus|VBIGarVag144721_0847	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854409	VBIGarVag144721_0847	NA	SSU ribosomal protein S16p	NA	NA	FIG00000193	GO:0005622	intracellular	NA	NA	clust_2438	GV12
fid|37854409|locus|VBIGarVag144721_0847	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854409	VBIGarVag144721_0847	NA	SSU ribosomal protein S16p	NA	NA	FIG00000193	GO:0005840	ribosome	NA	NA	clust_2438	GV12
fid|37854589|locus|VBIGarVag144721_0932	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854589	VBIGarVag144721_0932	NA	Sortase A, LPXTG specific	NA	NA	FIG00007328	NA	NA	NA	NA	clust_2441	GV12
fid|37854657|locus|VBIGarVag144721_0961	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854657	VBIGarVag144721_0961	NA	hypothetical protein	NA	NA	FIG00638284	NA	NA	NA	NA	clust_2442	GV12
fid|37854659|locus|VBIGarVag144721_0962	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854659	VBIGarVag144721_0962	NA	ParA	NA	NA	FIG01498265	NA	NA	NA	NA	clust_2443	GV12
fid|37854661|locus|VBIGarVag144721_0963	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854661	VBIGarVag144721_0963	NA	putative NADH-dependent flavin oxidoreductase	NA	NA	FIG01390702	NA	NA	NA	NA	clust_2444	GV12
fid|37854663|locus|VBIGarVag144721_0964	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854663	VBIGarVag144721_0964	NA	Cytochrome O ubiquinol oxidase subunit II (EC 1.10.3.-)	1.10.3.-	With oxygen as acceptor.	FIG00001095	GO:0004129	cytochrome-c oxidase activity	965	Betalain biosynthesis	clust_2445	GV12
fid|37854663|locus|VBIGarVag144721_0964	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854663	VBIGarVag144721_0964	NA	Cytochrome O ubiquinol oxidase subunit II (EC 1.10.3.-)	1.10.3.-	With oxygen as acceptor.	FIG00001095	GO:0008827	cytochrome o ubiquinol oxidase activity	965	Betalain biosynthesis	clust_2445	GV12
fid|37854663|locus|VBIGarVag144721_0964	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854663	VBIGarVag144721_0964	NA	Cytochrome O ubiquinol oxidase subunit II (EC 1.10.3.-)	1.10.3.-	With oxygen as acceptor.	FIG00001095	GO:0016020	membrane	965	Betalain biosynthesis	clust_2445	GV12
fid|37854663|locus|VBIGarVag144721_0964	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854663	VBIGarVag144721_0964	NA	Cytochrome O ubiquinol oxidase subunit II (EC 1.10.3.-)	1.10.3.-	With oxygen as acceptor.	FIG00001095	GO:0016021	integral to membrane	965	Betalain biosynthesis	clust_2445	GV12
fid|37854663|locus|VBIGarVag144721_0964	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854663	VBIGarVag144721_0964	NA	Cytochrome O ubiquinol oxidase subunit II (EC 1.10.3.-)	1.10.3.-	With oxygen as acceptor.	FIG00001095	GO:0006118	electron transport	965	Betalain biosynthesis	clust_2445	GV12
fid|37854663|locus|VBIGarVag144721_0964	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854663	VBIGarVag144721_0964	NA	Cytochrome O ubiquinol oxidase subunit II (EC 1.10.3.-)	1.10.3.-	With oxygen as acceptor.	FIG00001095	GO:0005507	copper ion binding	965	Betalain biosynthesis	clust_2445	GV12
fid|37854669|locus|VBIGarVag144721_0967	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854669	VBIGarVag144721_0967	NA	COG0477: Permeases of the major facilitator superfamily	NA	NA	FIG00672161	NA	NA	NA	NA	clust_2446	GV12
fid|37854671|locus|VBIGarVag144721_0968	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854671	VBIGarVag144721_0968	NA	Tn5252, Orf23	NA	NA	FIG01406364	NA	NA	NA	NA	clust_2447	GV12
fid|37854673|locus|VBIGarVag144721_0969	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854673	VBIGarVag144721_0969	NA	hypothetical protein	NA	NA	FIG00638284	NA	NA	NA	NA	clust_2448	GV12
fid|37854675|locus|VBIGarVag144721_0970	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854675	VBIGarVag144721_0970	NA	TrsE-like protein	NA	NA	FIG00633623	NA	NA	NA	NA	clust_2449	GV12
fid|37854677|locus|VBIGarVag144721_0971	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854677	VBIGarVag144721_0971	NA	hypothetical protein	NA	NA	FIG00638284	NA	NA	NA	NA	clust_2450	GV12
fid|37854679|locus|VBIGarVag144721_0972	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854679	VBIGarVag144721_0972	NA	hypothetical protein	NA	NA	FIG00638284	NA	NA	NA	NA	clust_2451	GV12
fid|37854681|locus|VBIGarVag144721_0973	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854681	VBIGarVag144721_0973	NA	TrsK-like protein	NA	NA	FIG00532839	NA	NA	NA	NA	clust_2452	GV12
fid|37854683|locus|VBIGarVag144721_0974	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854683	VBIGarVag144721_0974	NA	FIG00630256: hypothetical protein	NA	NA	FIG00630252	NA	NA	NA	NA	clust_2453	GV12
fid|37854685|locus|VBIGarVag144721_0975	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854685	VBIGarVag144721_0975	NA	hypothetical protein	NA	NA	FIG00638284	NA	NA	NA	NA	clust_2454	GV12
fid|37854689|locus|VBIGarVag144721_0977	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854689	VBIGarVag144721_0977	NA	hypothetical protein	NA	NA	FIG00638284	NA	NA	NA	NA	clust_2456	GV12
fid|37854699|locus|VBIGarVag144721_0982	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854699	VBIGarVag144721_0982	NA	Phage-related protein	NA	NA	FIG01226522	NA	NA	NA	NA	clust_2461	GV12
fid|37854703|locus|VBIGarVag144721_0984	Gardnerella vaginalis 5-1	NZ_ADAN01000005	PATRIC	CDS	37854703	VBIGarVag144721_0984	NA	phage integrase family protein	NA	NA	FIG01326760	NA	NA	NA	NA	clust_2462	GV12
fid|37854835|locus|VBIGarVag144721_1049	Gardnerella vaginalis 5-1	NZ_ADAN01000007	PATRIC	CDS	37854835	VBIGarVag144721_1049	NA	Adenine-specific methyltransferase (EC 2.1.1.72)	2.1.1.72	Site-specific DNA-methyltransferase (adenine-specific)	FIG00001670	NA	NA	NA	NA	clust_2464	GV12
fid|37854841|locus|VBIGarVag144721_1052	Gardnerella vaginalis 5-1	NZ_ADAN01000007	PATRIC	CDS	37854841	VBIGarVag144721_1052	NA	abortive phage resistance protein	NA	NA	FIG01423794	NA	NA	NA	NA	clust_2465	GV12
fid|37854843|locus|VBIGarVag144721_1053	Gardnerella vaginalis 5-1	NZ_ADAN01000007	PATRIC	CDS	37854843	VBIGarVag144721_1053	NA	FIG00472484: hypothetical protein	NA	NA	FIG01754950	NA	NA	NA	NA	clust_2466	GV12
fid|37854955|locus|VBIGarVag144721_1108	Gardnerella vaginalis 5-1	NZ_ADAN01000009	PATRIC	CDS	37854955	VBIGarVag144721_1108	NA	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95)	2.7.1.95	Kanamycin kinase	FIG00034170	NA	NA	NA	NA	clust_2469	GV12
fid|37854998|locus|VBIGarVag144721_1113	Gardnerella vaginalis 5-1	NZ_ADAN01000042	PATRIC	CDS	37854998	VBIGarVag144721_1113	NA	S-adenosylmethionine synthetase (EC 2.5.1.6)	2.5.1.6	Methionine adenosyltransferase	FIG00000329	GO:0004478	methionine adenosyltransferase activity	270	Cysteine and methionine metabolism	clust_2471	GV12
fid|37855194|locus|VBIGarVag144721_1183	Gardnerella vaginalis 5-1	NZ_ADAN01000094	PATRIC	CDS	37855194	VBIGarVag144721_1183	NA	Lanthionine biosynthesis protein LanM	NA	NA	FIG00673090	NA	NA	NA	NA	clust_2474	GV12
fid|37855196|locus|VBIGarVag144721_1184	Gardnerella vaginalis 5-1	NZ_ADAN01000094	PATRIC	CDS	37855196	VBIGarVag144721_1184	NA	hypothetical protein	NA	NA	FIG00638284	NA	NA	NA	NA	clust_2475	GV12
fid|37855200|locus|VBIGarVag144721_1186	Gardnerella vaginalis 5-1	NZ_ADAN01000094	PATRIC	CDS	37855200	VBIGarVag144721_1186	NA	hypothetical protein	NA	NA	FIG00638284	NA	NA	NA	NA	clust_2476	GV12
fid|37855202|locus|VBIGarVag144721_1187	Gardnerella vaginalis 5-1	NZ_ADAN01000094	PATRIC	CDS	37855202	VBIGarVag144721_1187	NA	Putative cytoplasmic protein	NA	NA	FIG00904518	NA	NA	NA	NA	clust_2477	GV12
fid|37855204|locus|VBIGarVag144721_1188	Gardnerella vaginalis 5-1	NZ_ADAN01000094	PATRIC	CDS	37855204	VBIGarVag144721_1188	NA	two-component system sensor kinase	NA	NA	FIG01170547	NA	NA	NA	NA	clust_2478	GV12
fid|37855206|locus|VBIGarVag144721_1189	Gardnerella vaginalis 5-1	NZ_ADAN01000094	PATRIC	CDS	37855206	VBIGarVag144721_1189	NA	hypothetical protein	NA	NA	FIG00638284	NA	NA	NA	NA	clust_2479	GV12
fid|37855262|locus|VBIGarVag144721_1216	Gardnerella vaginalis 5-1	NZ_ADAN01000094	PATRIC	CDS	37855262	VBIGarVag144721_1216	NA	hypothetical protein	NA	NA	FIG00638284	NA	NA	NA	NA	clust_2480	GV12
fid|37855412|locus|VBIGarVag144721_1290	Gardnerella vaginalis 5-1	NZ_ADAN01000094	PATRIC	CDS	37855412	VBIGarVag144721_1290	NA	FIG00671967: hypothetical protein	NA	NA	FIG00671965	NA	NA	NA	NA	clust_2483	GV12
fid|85477322|locus|VBIGarVag246379_0108	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	85477322	VBIGarVag246379_0108	NA	hypothetical protein	NA	NA	FIG00638284	NA	NA	NA	NA	clust_2485	GV16
fid|85477598|locus|VBIGarVag246379_0240	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	85477598	VBIGarVag246379_0240	NA	hypothetical protein	NA	NA	FIG00638284	NA	NA	NA	NA	clust_2486	GV16
fid|85477710|locus|VBIGarVag246379_0295	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	85477710	VBIGarVag246379_0295	NA	hypothetical protein	NA	NA	FIG00638284	NA	NA	NA	NA	clust_2487	GV16
fid|85477918|locus|VBIGarVag246379_0392	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	85477918	VBIGarVag246379_0392	NA	Exonuclease SbcC	NA	NA	FIG01304601	GO:0005524	ATP binding	NA	NA	clust_2488	GV16
fid|85477918|locus|VBIGarVag246379_0392	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	85477918	VBIGarVag246379_0392	NA	Exonuclease SbcC	NA	NA	FIG01304601	GO:0005694	chromosome	NA	NA	clust_2488	GV16
fid|85477918|locus|VBIGarVag246379_0392	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	85477918	VBIGarVag246379_0392	NA	Exonuclease SbcC	NA	NA	FIG01304601	GO:0051276	chromosome organization and biogenesis	NA	NA	clust_2488	GV16
fid|85478020|locus|VBIGarVag246379_0439	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	85478020	VBIGarVag246379_0439	NA	hypothetical protein	NA	NA	FIG00638284	NA	NA	NA	NA	clust_2490	GV16
fid|85478116|locus|VBIGarVag246379_0486	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	85478116	VBIGarVag246379_0486	NA	SSU ribosomal protein S16p	NA	NA	FIG00000193	GO:0005840	ribosome	NA	NA	clust_2491	GV16
fid|85478116|locus|VBIGarVag246379_0486	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	85478116	VBIGarVag246379_0486	NA	SSU ribosomal protein S16p	NA	NA	FIG00000193	GO:0003735	structural constituent of ribosome	NA	NA	clust_2491	GV16
fid|85478116|locus|VBIGarVag246379_0486	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	85478116	VBIGarVag246379_0486	NA	SSU ribosomal protein S16p	NA	NA	FIG00000193	GO:0006412	translation	NA	NA	clust_2491	GV16
fid|85478116|locus|VBIGarVag246379_0486	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	85478116	VBIGarVag246379_0486	NA	SSU ribosomal protein S16p	NA	NA	FIG00000193	GO:0005622	intracellular	NA	NA	clust_2491	GV16
fid|85478210|locus|VBIGarVag246379_0531	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	85478210	VBIGarVag246379_0531	NA	ABC transporter permease protein	NA	NA	FIG00482249	GO:0016020	membrane	NA	NA	clust_2493	GV16
fid|85478210|locus|VBIGarVag246379_0531	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	85478210	VBIGarVag246379_0531	NA	ABC transporter permease protein	NA	NA	FIG00482249	GO:0006810	transport	NA	NA	clust_2493	GV16
fid|85478210|locus|VBIGarVag246379_0531	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	85478210	VBIGarVag246379_0531	NA	ABC transporter permease protein	NA	NA	FIG00482249	GO:0005215	transporter activity	NA	NA	clust_2493	GV16
fid|85478879|locus|VBIGarVag246379_0859	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	85478879	VBIGarVag246379_0859	NA	Preprotein translocase subunit SecG (TC 3.A.5.1.1)	NA	NA	FIG00001563	GO:0015450	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	NA	NA	clust_2498	GV16
fid|85478879|locus|VBIGarVag246379_0859	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	85478879	VBIGarVag246379_0859	NA	Preprotein translocase subunit SecG (TC 3.A.5.1.1)	NA	NA	FIG00001563	GO:0009306	protein secretion	NA	NA	clust_2498	GV16
fid|85478879|locus|VBIGarVag246379_0859	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	85478879	VBIGarVag246379_0859	NA	Preprotein translocase subunit SecG (TC 3.A.5.1.1)	NA	NA	FIG00001563	GO:0016021	integral to membrane	NA	NA	clust_2498	GV16
fid|85479065|locus|VBIGarVag246379_0945	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	85479065	VBIGarVag246379_0945	NA	hypothetical protein	NA	NA	FIG00638284	NA	NA	NA	NA	clust_2499	GV16
fid|85479741|locus|VBIGarVag246379_1270	Gardnerella vaginalis 75712	ADEM01000003	PATRIC	CDS	85479741	VBIGarVag246379_1270	NA	hypothetical protein	NA	NA	FIG00638284	NA	NA	NA	NA	clust_2504	GV16
fid|183976055|locus|VBIGarVag268944_0462	Gardnerella vaginalis JCP7672	ATJP01000023	PATRIC	CDS	183976055	VBIGarVag268944_0462	NA	hypothetical protein	NA	NA	FIG00638284	NA	NA	NA	NA	clust_2506	GV24
fid|183976085|locus|VBIGarVag268944_0476	Gardnerella vaginalis JCP7672	ATJP01000023	PATRIC	CDS	183976085	VBIGarVag268944_0476	NA	sugar transporter sugar binding protein	NA	NA	FIG01777265	NA	NA	NA	NA	clust_2507	GV24
fid|183976160|locus|VBIGarVag268944_0510	Gardnerella vaginalis JCP7672	ATJP01000027	PATRIC	CDS	183976160	VBIGarVag268944_0510	NA	FIG00424428: hypothetical protein	NA	NA	FIG00671930	NA	NA	NA	NA	clust_2508	GV24
fid|183976396|locus|VBIGarVag268944_0614	Gardnerella vaginalis JCP7672	ATJP01000041	PATRIC	CDS	183976396	VBIGarVag268944_0614	NA	glutamyl-Q-tRNA synthetase	NA	NA	FIG00000882	GO:0004818	glutamate-tRNA ligase activity	NA	NA	clust_2510	GV24
fid|183976396|locus|VBIGarVag268944_0614	Gardnerella vaginalis JCP7672	ATJP01000041	PATRIC	CDS	183976396	VBIGarVag268944_0614	NA	glutamyl-Q-tRNA synthetase	NA	NA	FIG00000882	GO:0005524	ATP binding	NA	NA	clust_2510	GV24
fid|183976396|locus|VBIGarVag268944_0614	Gardnerella vaginalis JCP7672	ATJP01000041	PATRIC	CDS	183976396	VBIGarVag268944_0614	NA	glutamyl-Q-tRNA synthetase	NA	NA	FIG00000882	GO:0006424	glutamyl-tRNA aminoacylation	NA	NA	clust_2510	GV24
fid|183976453|locus|VBIGarVag268944_0641	Gardnerella vaginalis JCP7672	ATJP01000044	PATRIC	CDS	183976453	VBIGarVag268944_0641	NA	Alanyl-tRNA synthetase (EC 6.1.1.7)	6.1.1.7	Alanine--tRNA ligase	FIG00000139	GO:0004813	alanine-tRNA ligase activity	970	Aminoacyl-tRNA biosynthesis	clust_2512	GV24
fid|183976653|locus|VBIGarVag268944_0733	Gardnerella vaginalis JCP7672	ATJP01000060	PATRIC	CDS	183976653	VBIGarVag268944_0733	NA	hypothetical protein	NA	NA	FIG00638284	NA	NA	NA	NA	clust_2513	GV24
fid|183976931|locus|VBIGarVag268944_0860	Gardnerella vaginalis JCP7672	ATJP01000078	PATRIC	CDS	183976931	VBIGarVag268944_0860	NA	SSU ribosomal protein S16p	NA	NA	FIG00000193	GO:0003735	structural constituent of ribosome	NA	NA	clust_2514	GV24
fid|183976931|locus|VBIGarVag268944_0860	Gardnerella vaginalis JCP7672	ATJP01000078	PATRIC	CDS	183976931	VBIGarVag268944_0860	NA	SSU ribosomal protein S16p	NA	NA	FIG00000193	GO:0005622	intracellular	NA	NA	clust_2514	GV24
fid|183976931|locus|VBIGarVag268944_0860	Gardnerella vaginalis JCP7672	ATJP01000078	PATRIC	CDS	183976931	VBIGarVag268944_0860	NA	SSU ribosomal protein S16p	NA	NA	FIG00000193	GO:0005840	ribosome	NA	NA	clust_2514	GV24
