cds_id	ortho_id	full_id	short_id	seq_id	strain_id	id_short
GV12|SEQ00971	clust_2450	fid|37854677|locus|VBIGarVag144721_0971|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37854677|locus|VBIGarVag144721_0971	SEQ00971	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00972	clust_2451	fid|37854679|locus|VBIGarVag144721_0972|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37854679|locus|VBIGarVag144721_0972	SEQ00972	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00973	clust_2452	fid|37854681|locus|VBIGarVag144721_0973|   TrsK-like protein   [Gardnerella vaginalis 5-1]	fid|37854681|locus|VBIGarVag144721_0973	SEQ00973	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00974	clust_2453	fid|37854683|locus|VBIGarVag144721_0974|   FIG00630256: hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37854683|locus|VBIGarVag144721_0974	SEQ00974	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00975	clust_2454	fid|37854685|locus|VBIGarVag144721_0975|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37854685|locus|VBIGarVag144721_0975	SEQ00975	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00976	clust_2455	fid|37854687|locus|VBIGarVag144721_0976|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37854687|locus|VBIGarVag144721_0976	SEQ00976	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00977	clust_2456	fid|37854689|locus|VBIGarVag144721_0977|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37854689|locus|VBIGarVag144721_0977	SEQ00977	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00978	clust_2457	fid|37854691|locus|VBIGarVag144721_0978|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37854691|locus|VBIGarVag144721_0978	SEQ00978	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00979	clust_2458	fid|37854693|locus|VBIGarVag144721_0979|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37854693|locus|VBIGarVag144721_0979	SEQ00979	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00980	clust_2459	fid|37854695|locus|VBIGarVag144721_0980|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37854695|locus|VBIGarVag144721_0980	SEQ00980	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00981	clust_2460	fid|37854697|locus|VBIGarVag144721_0981|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37854697|locus|VBIGarVag144721_0981	SEQ00981	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00982	clust_2461	fid|37854699|locus|VBIGarVag144721_0982|   Phage-related protein   [Gardnerella vaginalis 5-1]	fid|37854699|locus|VBIGarVag144721_0982	SEQ00982	Gardnerella vaginalis 5-1	GV12
GV12|SEQ00984	clust_2462	fid|37854703|locus|VBIGarVag144721_0984|   phage integrase family protein   [Gardnerella vaginalis 5-1]	fid|37854703|locus|VBIGarVag144721_0984	SEQ00984	Gardnerella vaginalis 5-1	GV12
GV12|SEQ01033	clust_2463	fid|37854803|locus|VBIGarVag144721_1033|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37854803|locus|VBIGarVag144721_1033	SEQ01033	Gardnerella vaginalis 5-1	GV12
GV12|SEQ01049	clust_2464	fid|37854835|locus|VBIGarVag144721_1049|   Adenine-specific methyltransferase (EC 2.1.1.72)   [Gardnerella vaginalis 5-1]	fid|37854835|locus|VBIGarVag144721_1049	SEQ01049	Gardnerella vaginalis 5-1	GV12
GV12|SEQ01052	clust_2465	fid|37854841|locus|VBIGarVag144721_1052|   abortive phage resistance protein   [Gardnerella vaginalis 5-1]	fid|37854841|locus|VBIGarVag144721_1052	SEQ01052	Gardnerella vaginalis 5-1	GV12
GV12|SEQ01053	clust_2466	fid|37854843|locus|VBIGarVag144721_1053|   FIG00472484: hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37854843|locus|VBIGarVag144721_1053	SEQ01053	Gardnerella vaginalis 5-1	GV12
GV12|SEQ01083	clust_2467	fid|37854903|locus|VBIGarVag144721_1083|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37854903|locus|VBIGarVag144721_1083	SEQ01083	Gardnerella vaginalis 5-1	GV12
GV12|SEQ01094	clust_2468	fid|37854925|locus|VBIGarVag144721_1094|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37854925|locus|VBIGarVag144721_1094	SEQ01094	Gardnerella vaginalis 5-1	GV12
GV12|SEQ01108	clust_2469	fid|37854955|locus|VBIGarVag144721_1108|   Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95)   [Gardnerella vaginalis 5-1]	fid|37854955|locus|VBIGarVag144721_1108	SEQ01108	Gardnerella vaginalis 5-1	GV12
GV12|SEQ01111	clust_2470	fid|37854973|locus|VBIGarVag144721_1111|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37854973|locus|VBIGarVag144721_1111	SEQ01111	Gardnerella vaginalis 5-1	GV12
GV12|SEQ01113	clust_2471	fid|37854998|locus|VBIGarVag144721_1113|   S-adenosylmethionine synthetase (EC 2.5.1.6)   [Gardnerella vaginalis 5-1]	fid|37854998|locus|VBIGarVag144721_1113	SEQ01113	Gardnerella vaginalis 5-1	GV12
GV12|SEQ01162	clust_2472	fid|37855148|locus|VBIGarVag144721_1162|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37855148|locus|VBIGarVag144721_1162	SEQ01162	Gardnerella vaginalis 5-1	GV12
GV12|SEQ01182	clust_2473	fid|37855192|locus|VBIGarVag144721_1182|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37855192|locus|VBIGarVag144721_1182	SEQ01182	Gardnerella vaginalis 5-1	GV12
GV12|SEQ01183	clust_2474	fid|37855194|locus|VBIGarVag144721_1183|   Lanthionine biosynthesis protein LanM   [Gardnerella vaginalis 5-1]	fid|37855194|locus|VBIGarVag144721_1183	SEQ01183	Gardnerella vaginalis 5-1	GV12
GV12|SEQ01184	clust_2475	fid|37855196|locus|VBIGarVag144721_1184|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37855196|locus|VBIGarVag144721_1184	SEQ01184	Gardnerella vaginalis 5-1	GV12
GV12|SEQ01186	clust_2476	fid|37855200|locus|VBIGarVag144721_1186|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37855200|locus|VBIGarVag144721_1186	SEQ01186	Gardnerella vaginalis 5-1	GV12
GV12|SEQ01187	clust_2477	fid|37855202|locus|VBIGarVag144721_1187|   Putative cytoplasmic protein   [Gardnerella vaginalis 5-1]	fid|37855202|locus|VBIGarVag144721_1187	SEQ01187	Gardnerella vaginalis 5-1	GV12
GV12|SEQ01188	clust_2478	fid|37855204|locus|VBIGarVag144721_1188|   two-component system sensor kinase   [Gardnerella vaginalis 5-1]	fid|37855204|locus|VBIGarVag144721_1188	SEQ01188	Gardnerella vaginalis 5-1	GV12
GV12|SEQ01189	clust_2479	fid|37855206|locus|VBIGarVag144721_1189|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37855206|locus|VBIGarVag144721_1189	SEQ01189	Gardnerella vaginalis 5-1	GV12
GV12|SEQ01216	clust_2480	fid|37855262|locus|VBIGarVag144721_1216|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37855262|locus|VBIGarVag144721_1216	SEQ01216	Gardnerella vaginalis 5-1	GV12
GV12|SEQ01287	clust_2481	fid|37855406|locus|VBIGarVag144721_1287|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37855406|locus|VBIGarVag144721_1287	SEQ01287	Gardnerella vaginalis 5-1	GV12
GV12|SEQ01289	clust_2482	fid|37855410|locus|VBIGarVag144721_1289|   hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37855410|locus|VBIGarVag144721_1289	SEQ01289	Gardnerella vaginalis 5-1	GV12
GV12|SEQ01290	clust_2483	fid|37855412|locus|VBIGarVag144721_1290|   FIG00671967: hypothetical protein   [Gardnerella vaginalis 5-1]	fid|37855412|locus|VBIGarVag144721_1290	SEQ01290	Gardnerella vaginalis 5-1	GV12
GV16|SEQ00001	clust_2484	fid|85477099|locus|VBIGarVag246379_0001|   hypothetical protein   [Gardnerella vaginalis 75712]	fid|85477099|locus|VBIGarVag246379_0001	SEQ00001	Gardnerella vaginalis 75712	GV16
GV16|SEQ00108	clust_2485	fid|85477322|locus|VBIGarVag246379_0108|   hypothetical protein   [Gardnerella vaginalis 75712]	fid|85477322|locus|VBIGarVag246379_0108	SEQ00108	Gardnerella vaginalis 75712	GV16
GV16|SEQ00240	clust_2486	fid|85477598|locus|VBIGarVag246379_0240|   hypothetical protein   [Gardnerella vaginalis 75712]	fid|85477598|locus|VBIGarVag246379_0240	SEQ00240	Gardnerella vaginalis 75712	GV16
GV16|SEQ00295	clust_2487	fid|85477710|locus|VBIGarVag246379_0295|   hypothetical protein   [Gardnerella vaginalis 75712]	fid|85477710|locus|VBIGarVag246379_0295	SEQ00295	Gardnerella vaginalis 75712	GV16
GV16|SEQ00392	clust_2488	fid|85477918|locus|VBIGarVag246379_0392|   Exonuclease SbcC   [Gardnerella vaginalis 75712]	fid|85477918|locus|VBIGarVag246379_0392	SEQ00392	Gardnerella vaginalis 75712	GV16
GV16|SEQ00422	clust_2489	fid|85477986|locus|VBIGarVag246379_0422|   hypothetical protein   [Gardnerella vaginalis 75712]	fid|85477986|locus|VBIGarVag246379_0422	SEQ00422	Gardnerella vaginalis 75712	GV16
GV16|SEQ00439	clust_2490	fid|85478020|locus|VBIGarVag246379_0439|   hypothetical protein   [Gardnerella vaginalis 75712]	fid|85478020|locus|VBIGarVag246379_0439	SEQ00439	Gardnerella vaginalis 75712	GV16
GV16|SEQ00486	clust_2491	fid|85478116|locus|VBIGarVag246379_0486|   SSU ribosomal protein S16p   [Gardnerella vaginalis 75712]	fid|85478116|locus|VBIGarVag246379_0486	SEQ00486	Gardnerella vaginalis 75712	GV16
GV16|SEQ00515	clust_2492	fid|85478175|locus|VBIGarVag246379_0515|   hypothetical protein   [Gardnerella vaginalis 75712]	fid|85478175|locus|VBIGarVag246379_0515	SEQ00515	Gardnerella vaginalis 75712	GV16
GV16|SEQ00531	clust_2493	fid|85478210|locus|VBIGarVag246379_0531|   ABC transporter permease protein   [Gardnerella vaginalis 75712]	fid|85478210|locus|VBIGarVag246379_0531	SEQ00531	Gardnerella vaginalis 75712	GV16
GV16|SEQ00598	clust_2494	fid|85478344|locus|VBIGarVag246379_0598|   FIG00525105: hypothetical protein   [Gardnerella vaginalis 75712]	fid|85478344|locus|VBIGarVag246379_0598	SEQ00598	Gardnerella vaginalis 75712	GV16
GV16|SEQ00601	clust_2495	fid|85478350|locus|VBIGarVag246379_0601|   hypothetical protein   [Gardnerella vaginalis 75712]	fid|85478350|locus|VBIGarVag246379_0601	SEQ00601	Gardnerella vaginalis 75712	GV16
GV16|SEQ00637	clust_2496	fid|85478422|locus|VBIGarVag246379_0637|   hypothetical protein   [Gardnerella vaginalis 75712]	fid|85478422|locus|VBIGarVag246379_0637	SEQ00637	Gardnerella vaginalis 75712	GV16
GV16|SEQ00834	clust_2497	fid|85478829|locus|VBIGarVag246379_0834|   hypothetical protein   [Gardnerella vaginalis 75712]	fid|85478829|locus|VBIGarVag246379_0834	SEQ00834	Gardnerella vaginalis 75712	GV16
GV16|SEQ00859	clust_2498	fid|85478879|locus|VBIGarVag246379_0859|   Preprotein translocase subunit SecG (TC 3.A.5.1.1)   [Gardnerella vaginalis 75712]	fid|85478879|locus|VBIGarVag246379_0859	SEQ00859	Gardnerella vaginalis 75712	GV16
GV16|SEQ00945	clust_2499	fid|85479065|locus|VBIGarVag246379_0945|   hypothetical protein   [Gardnerella vaginalis 75712]	fid|85479065|locus|VBIGarVag246379_0945	SEQ00945	Gardnerella vaginalis 75712	GV16
GV16|SEQ01112	clust_2500	fid|85479414|locus|VBIGarVag246379_1112|   hypothetical protein   [Gardnerella vaginalis 75712]	fid|85479414|locus|VBIGarVag246379_1112	SEQ01112	Gardnerella vaginalis 75712	GV16
GV16|SEQ01164	clust_2501	fid|85479522|locus|VBIGarVag246379_1164|   hypothetical protein   [Gardnerella vaginalis 75712]	fid|85479522|locus|VBIGarVag246379_1164	SEQ01164	Gardnerella vaginalis 75712	GV16
GV16|SEQ01248	clust_2502	fid|85479697|locus|VBIGarVag246379_1248|   hypothetical protein   [Gardnerella vaginalis 75712]	fid|85479697|locus|VBIGarVag246379_1248	SEQ01248	Gardnerella vaginalis 75712	GV16
GV16|SEQ01253	clust_2503	fid|85479707|locus|VBIGarVag246379_1253|   hypothetical protein   [Gardnerella vaginalis 75712]	fid|85479707|locus|VBIGarVag246379_1253	SEQ01253	Gardnerella vaginalis 75712	GV16
GV16|SEQ01270	clust_2504	fid|85479741|locus|VBIGarVag246379_1270|   hypothetical protein   [Gardnerella vaginalis 75712]	fid|85479741|locus|VBIGarVag246379_1270	SEQ01270	Gardnerella vaginalis 75712	GV16
GV24|SEQ00112	clust_2505	fid|183975325|locus|VBIGarVag268944_0113|   hypothetical protein   [Gardnerella vaginalis JCP7672]	fid|183975325|locus|VBIGarVag268944_0113	SEQ00112	Gardnerella vaginalis JCP7672	GV24
GV24|SEQ00461	clust_2506	fid|183976055|locus|VBIGarVag268944_0462|   hypothetical protein   [Gardnerella vaginalis JCP7672]	fid|183976055|locus|VBIGarVag268944_0462	SEQ00461	Gardnerella vaginalis JCP7672	GV24
GV24|SEQ00475	clust_2507	fid|183976085|locus|VBIGarVag268944_0476|   sugar transporter sugar binding protein   [Gardnerella vaginalis JCP7672]	fid|183976085|locus|VBIGarVag268944_0476	SEQ00475	Gardnerella vaginalis JCP7672	GV24
GV24|SEQ00509	clust_2508	fid|183976160|locus|VBIGarVag268944_0510|   FIG00424428: hypothetical protein   [Gardnerella vaginalis JCP7672]	fid|183976160|locus|VBIGarVag268944_0510	SEQ00509	Gardnerella vaginalis JCP7672	GV24
GV24|SEQ00608	clust_2509	fid|183976383|locus|VBIGarVag268944_0609|   hypothetical protein   [Gardnerella vaginalis JCP7672]	fid|183976383|locus|VBIGarVag268944_0609	SEQ00608	Gardnerella vaginalis JCP7672	GV24
GV24|SEQ00613	clust_2510	fid|183976396|locus|VBIGarVag268944_0614|   glutamyl-Q-tRNA synthetase   [Gardnerella vaginalis JCP7672]	fid|183976396|locus|VBIGarVag268944_0614	SEQ00613	Gardnerella vaginalis JCP7672	GV24
GV24|SEQ00629	clust_2511	fid|183976429|locus|VBIGarVag268944_0630|   hypothetical protein   [Gardnerella vaginalis JCP7672]	fid|183976429|locus|VBIGarVag268944_0630	SEQ00629	Gardnerella vaginalis JCP7672	GV24
GV24|SEQ00640	clust_2512	fid|183976453|locus|VBIGarVag268944_0641|   Alanyl-tRNA synthetase (EC 6.1.1.7)   [Gardnerella vaginalis JCP7672]	fid|183976453|locus|VBIGarVag268944_0641	SEQ00640	Gardnerella vaginalis JCP7672	GV24
GV24|SEQ00732	clust_2513	fid|183976653|locus|VBIGarVag268944_0733|   hypothetical protein   [Gardnerella vaginalis JCP7672]	fid|183976653|locus|VBIGarVag268944_0733	SEQ00732	Gardnerella vaginalis JCP7672	GV24
GV24|SEQ00859	clust_2514	fid|183976931|locus|VBIGarVag268944_0860|   SSU ribosomal protein S16p   [Gardnerella vaginalis JCP7672]	fid|183976931|locus|VBIGarVag268944_0860	SEQ00859	Gardnerella vaginalis JCP7672	GV24
GV24|SEQ00921	clust_2515	fid|183977065|locus|VBIGarVag268944_0922|   hypothetical protein   [Gardnerella vaginalis JCP7672]	fid|183977065|locus|VBIGarVag268944_0922	SEQ00921	Gardnerella vaginalis JCP7672	GV24
